,species,samp.size,search.algo,part.log.lik,part.IC,part.IC.score,num.partition.steps,num.partitions,max.log.lik,uncon.log.lik,num.free.params,AIC,AICc,BIC,sum.branch.lens,sum.int.branch.lens,cons.log.lik,cons.max.RF.dist
1,lopho,10,noPart,noPart,noPart,noPart,noPart,0,-154850.8750,-45718.7320,122,309945.7501,309950.8154,310764.0630,137.4087,62.9288,-154851.049862,8
2,lopho,10,rcluster,-154849.38671875,AIC,309944.773438,7,3,-154847.8986,-42217.3614,123,309941.7971,309946.9464,310766.8175,133.1128,60.6996,-154848.001880,8
3,lopho,10,rcluster,-154852.796875,BIC,310759.199183,9,1,-154850.8182,-45718.7320,121,309943.6365,309948.6186,310755.2419,132.8468,60.7027,-154851.192748,8
4,lopho,10,rcluster,-154849.38671875,AICc,309949.922661,7,3,-154847.8986,-42217.3614,123,309941.7971,309946.9464,310766.8175,133.1128,60.6996,-154848.001880,8
5,myria,10,noPart,noPart,noPart,noPart,noPart,0,-55389.7517,-16289.0954,48,110875.5034,110877.6185,111150.4885,37.7762,19.2937,-55389.749299,0
6,myria,10,rcluster,-55385.8388671875,AIC,110867.677734,8,2,-55385.7947,-15200.8262,48,110867.5895,110869.7046,111142.5746,37.8138,19.2871,-55385.786122,0
7,myria,10,rcluster,-55389.57421875,BIC,111142.404661,9,1,-55389.5438,-16289.0954,47,110873.0877,110875.1156,111142.3439,37.7327,19.2544,-55389.532870,0
8,myria,10,rcluster,-55385.8388671875,AICc,110869.792842,8,2,-55385.7947,-15200.8262,48,110867.5895,110869.7046,111142.5746,37.8138,19.2871,-55385.786122,0
9,lopho,20,noPart,noPart,noPart,noPart,noPart,0,-317035.8504,-96230.7137,122,634315.7007,634318.2147,635218.2241,130.3929,NA,-317035.211577,6
10,lopho,20,rcluster,-317031.920898438,AIC,634315.841797,15,5,-317027.2549,-87945.8411,126,634306.5099,634309.1916,635238.6241,130.3800,58.4082,-317027.337983,2
11,lopho,20,rcluster,-317040.0625,BIC,635217.250619,19,1,-317035.2591,-96230.7137,121,634312.5182,634314.9911,635207.6439,132.5072,58.2398,-317035.317798,2
12,lopho,20,rcluster,-317031.920898438,AICc,634318.523546,15,5,-317027.0385,-87945.8411,126,634306.0770,634308.7587,635238.1913,130.5438,58.6254,-317027.340798,4
13,myria,20,noPart,noPart,noPart,noPart,noPart,0,-106954.6545,-34433.7737,48,214005.3091,214006.3521,214313.7023,38.0456,19.1146,-106954.648683,0
14,myria,20,rcluster,-106947.1484375,AIC,213992.296875,17,3,-106947.1291,-31109.0344,49,213992.2582,213993.3449,214307.0763,38.1165,19.0973,-106947.098910,0
15,myria,20,rcluster,-106948.541015625,BIC,214301.475243,18,2,-106948.5237,-32654.3147,48,213993.0473,213994.0904,214301.4405,38.0986,19.0980,-106948.486490,0
16,myria,20,rcluster,-106946.777832031,AICc,213994.686986,16,4,-106946.7612,-30389.7379,50,213993.5224,213994.6537,214314.7653,38.1457,19.1126,-106946.730999,0
17,lopho,40,noPart,noPart,noPart,noPart,noPart,0,-611683.1837,-192688.7003,122,1223610.3675,1223611.6716,1224592.3632,132.7244,54.5261,-611683.565920,2
18,lopho,40,rcluster,-611660.194335938,AIC,1223576.38867,34,6,-611657.7198,-176118.5371,128,1223571.4396,1223572.8749,1224601.7301,135.1012,NA,-611657.308825,16
19,lopho,40,rcluster,-611668.25,BIC,1224572.54485,37,3,-611664.5793,-183364.3865,123,1223575.1585,1223576.4841,1224565.2034,136.2917,NA,-611664.314219,0
20,lopho,40,rcluster,-611660.194335938,AICc,1223577.82406,34,6,-611655.5115,-176118.5371,128,1223567.0231,1223568.4585,1224597.3136,137.5820,NA,-611655.268603,4
21,myria,40,noPart,noPart,noPart,noPart,noPart,0,-214937.9600,-76307.6224,48,429971.9200,429972.4177,430315.5543,38.0622,19.1429,-214937.959194,0
22,myria,40,rcluster,-214894.432617188,AIC,429940.865234,30,9,-214893.8330,-64129.4517,76,429939.6660,429940.9081,430483.7536,38.2043,19.2168,-214893.822786,0
23,myria,40,rcluster,-214922.921875,BIC,430285.47801,38,2,-214922.8275,-72422.9130,48,429941.6550,429942.1527,430285.2893,38.1064,19.1693,-214922.817268,0
24,myria,40,rcluster,-214916.486328125,AICc,429939.578627,34,6,-214916.4254,-66426.6215,53,429938.8508,429939.4567,430318.2803,38.1851,19.2042,-214916.414524,0
25,lopho,80,noPart,noPart,noPart,noPart,noPart,0,-1213147.5401,-392346.5841,122,2426539.0802,2426539.7446,2427603.0417,133.1963,56.9583,-1213147.616499,6
26,lopho,80,rcluster,-1213089.68066406,AIC,2426443.36133,70,10,-1213090.8393,-344796.3580,132,2426445.6786,2426446.4560,2427596.8501,133.5906,NA,-1213090.433332,6
27,lopho,80,rcluster,-1213114.4375,BIC,2427536.83652,78,2,-1213114.6150,-378226.3965,122,2426473.2300,2426473.8944,2427537.1915,133.0378,56.7360,-1213115.177075,6
28,lopho,80,rcluster,-1213109.578125,BIC,2427537.83877,77,3,-1213110.3566,-372651.2170,123,2426466.7132,2426467.3885,2427539.3958,133.2898,NA,-1213110.200884,0
29,myria,80,noPart,noPart,noPart,noPart,noPart,0,-418532.1315,-156009.8340,48,837160.2629,837160.5182,837535.8233,38.3675,19.2315,-418532.119760,0
30,myria,80,rcluster,-418463.469726562,AIC,837088.939453,69,11,-418462.8371,-131567.1134,81,837087.6743,837088.3965,837721.4324,38.6249,19.3731,-418462.825879,0
31,myria,80,rcluster,-418499.458007812,BIC,837490.124703,75,4,-418499.2228,-142990.5191,50,837098.4457,837098.7225,837489.6544,38.3806,19.2261,-418499.207914,0
32,myria,80,rcluster,-418486.416015625,AICc,837091.2165,71,9,-418486.3397,-134456.9674,59,837090.6794,837091.0639,837552.3057,38.5914,19.3440,-418486.319732,0
