,species,samp.size,search.algo,part.log.lik,part.IC,part.IC.score,num.partition.steps,num.partitions,max.log.lik,uncon.log.lik,num.free.params,AIC,AICc,BIC,sum.branch.lens,sum.int.branch.lens,cons.log.lik,cons.max.RF.dist
1,lopho,10,noPart,noPart,noPart,noPart,noPart,0,-130793.0678,-33703.7554,122,261830.1356,261837.0413,262611.5358,100.2095,NA,-130792.941082,0
2,lopho,10,rcluster,-130791.7578125,AIC,261827.515625,8,2,-130789.0493,-31635.5110,122,261822.0987,261829.0043,262603.4989,99.8108,NA,-130788.940631,0
3,lopho,10,rcluster,-130795.3984375,BIC,262607.792189,9,1,-130792.8955,-33703.7554,121,261827.7911,261834.5829,262602.7864,100.1112,NA,-130792.776503,0
4,lopho,10,rcluster,-130791.7578125,AICc,261834.421285,8,2,-130789.0495,-31635.5110,122,261822.0990,261829.0046,262603.4992,99.8102,NA,-130788.940264,0
5,myria,10,noPart,noPart,noPart,noPart,noPart,0,-53749.3488,-18876.6090,48,107594.6977,107596.5740,107875.3152,54.9381,34.9269,-53749.318207,0
6,myria,10,rcluster,-53747.611328125,AIC,107591.222656,8,2,-53746.9274,-17438.0152,48,107589.8548,107591.7311,107870.4723,53.8336,35.0257,-53747.524214,6
7,myria,10,rcluster,-53749.515625,BIC,107867.802594,9,1,-53749.4654,-18876.6090,47,107592.9309,107594.7299,107867.7022,54.7153,NA,-53749.339241,2
8,myria,10,rcluster,-53747.611328125,AICc,107593.099002,8,2,-53747.3910,-17438.0152,48,107590.7820,107592.6583,107871.3995,55.0260,35.3226,-53747.408748,0
9,lopho,20,noPart,noPart,noPart,noPart,noPart,0,-266162.9855,-71777.4147,122,532569.9711,532573.3738,533436.0035,100.6597,51.7927,-266163.038939,2
10,lopho,20,rcluster,-266152.00390625,AIC,532556.007812,15,5,-266151.9899,-62295.5368,126,532555.9798,532559.6100,533450.4067,100.5798,51.7687,-266152.039727,2
11,lopho,20,rcluster,-266156.5,BIC,533423.032419,18,2,-266156.4212,-67883.8688,122,532556.8425,532560.2452,533422.8749,100.3963,51.6801,-266156.502782,2
12,lopho,20,rcluster,-266152.00390625,AICc,532559.63803,15,5,-266151.9898,-62295.5368,126,532555.9797,532559.6099,533450.4066,100.5798,51.7686,-266152.039561,2
13,myria,20,noPart,noPart,noPart,noPart,noPart,0,-109782.7620,-42855.2223,48,219661.5241,219662.3939,219978.5475,60.6500,39.1423,-109783.362955,10
14,myria,20,rcluster,-109773.817382812,AIC,219645.634766,17,3,-109772.1204,-39284.6808,49,219642.2408,219643.1470,219965.8689,57.1017,39.8271,-109773.159525,12
15,myria,20,rcluster,-109775.33203125,BIC,219963.687477,18,2,-109773.9080,-40183.7086,48,219643.8159,219644.6858,219960.8393,58.2504,46.8441,-109774.848554,2
16,myria,20,rcluster,-109773.817382812,AICc,219646.540998,17,3,-109771.9567,-39284.6808,49,219641.9133,219642.8196,219965.5414,55.8537,36.3440,-109773.528414,4
17,lopho,40,noPart,noPart,noPart,noPart,noPart,0,-544683.5365,-155529.5322,122,1089611.0729,1089612.7213,1090564.6608,99.2630,51.8870,-544683.530616,0
18,lopho,40,rcluster,-544657.991210938,AIC,1089577.98242,31,9,-544657.9199,-131723.5547,131,1089577.8397,1089579.7402,1090601.7743,99.3017,51.9084,-544657.910518,0
19,lopho,40,rcluster,-544668.663085938,BIC,1090544.73038,37,3,-544668.5308,-147741.5523,123,1089583.0616,1089584.7370,1090544.4658,99.1184,51.7961,-544668.521873,0
20,lopho,40,rcluster,-544661.491210938,AICc,1089576.74059,35,5,-544661.4114,-140950.2260,126,1089574.8229,1089576.5810,1090559.6760,99.2453,51.8721,-544661.402668,0
21,myria,40,noPart,noPart,noPart,noPart,noPart,0,-219072.6976,-90856.0337,48,438241.3953,438241.8297,438591.5312,57.3061,36.5819,-219072.975951,2
22,myria,40,rcluster,-219047.91796875,AIC,438201.835938,34,6,-219044.6181,-76622.6512,53,438195.2362,438195.7650,438581.8446,55.4643,36.1658,-219045.726799,2
23,myria,40,rcluster,-219054.810546875,BIC,438565.05148,37,3,-219052.9831,-83803.1550,49,438203.9662,438204.4187,438561.3966,54.9006,35.5123,-219053.140216,2
24,myria,40,rcluster,-219047.91796875,AICc,438202.364762,34,6,-219045.3830,-76622.6512,53,438196.7661,438197.2949,438583.3744,55.5298,35.9187,-219046.297905,6
25,lopho,80,noPart,noPart,noPart,noPart,noPart,0,-1069636.4100,-312593.6790,122,2139516.8199,2139517.6680,2140551.0868,99.8128,52.2693,-1069636.404796,0
26,lopho,80,rcluster,-1069588.76660156,AIC,2139443.5332,70,10,-1069588.6799,-272306.7442,133,2139443.3598,2139444.3674,2140570.8803,99.9545,52.3576,-1069588.665598,0
27,lopho,80,rcluster,-1069610.54394531,BIC,2140520.31002,76,4,-1069610.3056,-297180.1165,124,2139468.6113,2139469.4873,2140519.8334,99.7100,52.1996,-1069610.291353,0
28,lopho,80,rcluster,-1069588.59765625,AICc,2139444.20286,70,10,-1069588.4983,-273074.3742,133,2139442.9967,2139444.0042,2140570.5172,99.9550,52.3570,-1069588.484040,0
29,myria,80,noPart,noPart,noPart,noPart,noPart,0,-446763.2600,-200604.5240,48,893622.5200,893622.7276,894007.9742,49.8074,NA,-446762.757736,4
30,myria,80,rcluster,-446679.247070312,AIC,893516.494141,70,10,-446679.2347,-170234.3069,79,893516.4694,893517.0281,894150.8628,50.2422,NA,-446679.007178,2
31,myria,80,rcluster,-446715.447265625,BIC,893942.439648,75,5,-446714.7132,-180502.3333,51,893531.4265,893531.6606,893940.9716,49.9297,NA,-446714.392249,2
32,myria,80,rcluster,-446679.247070312,AICc,893517.052839,70,10,-446679.2347,-170234.3069,79,893516.4693,893517.0280,894150.8628,50.2420,30.9846,-446681.760291,4
