,species,samp.size,search.algo,part.log.lik,part.IC,part.IC.score,num.partition.steps,num.partitions,max.log.lik,uncon.log.lik,num.free.params,AIC,AICc,BIC,sum.branch.lens,sum.int.branch.lens,cons.log.lik,cons.max.RF.dist
1,lopho,10,noPart,noPart,noPart,noPart,noPart,0,-26177.6087,-14950.9746,18,52391.2174,52391.5449,52492.9803,32.7695,17.9203,-26177.582653,2
2,lopho,10,rcluster,-26171.5639648438,AIC,52381.1279297,7,3,-26171.3856,-13151.9396,19,52380.7711,52381.1351,52488.1875,33.4665,18.7847,-26171.391635,2
3,lopho,10,rcluster,-26172.880859375,BIC,52483.5246271,8,2,-26172.7160,-14014.3114,18,52381.4320,52381.7594,52483.1949,33.2439,18.4047,-26172.724880,2
4,lopho,10,rcluster,-26171.5639648438,AICc,52381.4919144,7,3,-26171.3856,-13151.9396,19,52380.7711,52381.1351,52488.1875,33.4664,18.7847,-26171.391637,2
5,myria,10,noPart,noPart,noPart,noPart,noPart,0,-14789.8922,-5139.8885,18,29615.7845,29616.4817,29704.1241,12.8431,8.3791,-14790.376906,0
6,myria,10,rcluster,-14654.2836914062,AIC,29376.5673828,4,6,-14651.8358,-4249.2848,34,29371.6716,29374.1379,29538.5353,23.7035,16.9271,-14653.451529,2
7,myria,10,rcluster,-14668.771484375,BIC,29468.7903191,9,1,-14667.8002,-5139.8885,19,29373.6004,29374.3759,29466.8477,26.8346,17.3658,-14668.157311,2
8,myria,10,rcluster,-14654.2836914062,AICc,29379.0337041,4,6,-14651.8365,-4249.2848,34,29371.6731,29374.1394,29538.5368,23.7143,16.9478,-14653.452743,2
9,lopho,20,noPart,noPart,noPart,noPart,noPart,0,-50044.9830,-31394.8285,18,100125.9661,100126.1310,100239.9866,36.6167,21.2603,-50045.627977,0
10,lopho,20,rcluster,-50036.3842773438,AIC,100110.768555,17,3,-50036.8590,-28180.0333,19,100111.7179,100111.9013,100232.0729,37.4321,21.3109,-50036.873206,0
11,lopho,20,rcluster,-50039.4565429688,BIC,100228.933574,18,2,-50040.2670,-29988.7245,18,100116.5339,100116.6989,100230.5544,37.0846,20.7780,-50040.267474,0
12,lopho,20,rcluster,-50036.3842773438,AICc,100110.951908,17,3,-50036.8800,-28180.0333,19,100111.7599,100111.9433,100232.1149,37.3303,21.2646,-50036.853369,0
13,myria,20,noPart,noPart,noPart,noPart,noPart,0,-29490.0911,-10946.0945,18,59016.1821,59016.5274,59116.9984,14.2539,6.8381,-29490.499500,2
14,myria,20,rcluster,-29226.3037109375,AIC,58532.6074219,12,8,-29223.9804,-9113.0016,40,58527.9608,58529.6351,58751.9969,28.1516,18.2906,-29224.215054,2
15,myria,20,rcluster,-29251.69140625,BIC,58647.7999592,19,1,-29249.8328,-10946.0945,19,58537.6657,58538.0495,58644.0828,27.2764,12.7011,-29250.186070,2
16,myria,20,rcluster,-29226.3037109375,AICc,58534.2817455,12,8,-29223.9541,-9113.0016,40,58527.9082,58529.5826,58751.9443,28.0815,18.3250,-29224.009563,0
17,lopho,40,noPart,noPart,noPart,noPart,noPart,0,-103334.0451,-71310.5128,18,206704.0901,206704.1680,206831.5855,36.1738,21.9634,-103334.089041,0
18,lopho,40,rcluster,-103311.755371094,AIC,206675.510742,32,8,-103311.1321,-59606.8369,26,206674.2642,206674.4241,206858.4241,36.9494,22.1703,-103311.157972,0
19,lopho,40,rcluster,-103318.038085938,BIC,206808.654597,37,3,-103317.7471,-65412.8184,19,206673.4942,206673.5807,206808.0726,36.4556,21.7518,-103317.776303,0
20,lopho,40,rcluster,-103311.755371094,AICc,206675.670688,32,8,-103311.1330,-59606.8369,26,206674.2661,206674.4260,206858.4260,36.9461,22.1563,-103311.157974,0
21,myria,40,noPart,noPart,noPart,noPart,noPart,0,-58570.5179,-23121.6556,18,117177.0358,117177.2076,117290.3286,15.1589,9.9099,-58571.267607,4
22,myria,40,rcluster,-58066.3098144531,AIC,116218.619629,30,9,-58062.7663,-19533.3816,43,116211.5327,116212.4892,116482.1768,27.3441,17.9286,-58064.105512,0
23,myria,40,rcluster,-58092.0809326172,BIC,116383.219057,37,3,-58088.3402,-22050.8104,24,116224.6804,116224.9823,116375.7376,27.5876,18.0765,-58089.107289,2
24,myria,40,rcluster,-58066.3098144531,AICc,116219.576151,30,9,-58062.8540,-19533.3816,43,116211.7080,116212.6645,116482.3521,27.2625,17.8561,-58063.602472,2
25,lopho,80,noPart,noPart,noPart,noPart,noPart,0,-208270.7686,-153178.0271,18,416577.5371,416577.5750,416717.9613,37.0795,21.7721,-208270.803908,2
26,lopho,80,rcluster,-208217.510742188,AIC,416501.021484,67,13,-208214.6558,-127062.3811,33,416495.3116,416495.4361,416752.7559,37.2561,20.1996,-208214.655791,0
27,lopho,80,rcluster,-208239.80078125,BIC,416675.628444,75,4,-208236.6616,-139942.5287,20,416513.3232,416513.3698,416669.3501,36.9950,NA,-208236.479934,2
28,lopho,80,rcluster,-208217.510742188,AICc,416501.145985,67,13,-208214.6509,-127062.3811,33,416495.3017,416495.4262,416752.7461,37.2104,20.2220,-208214.655727,0
29,myria,80,noPart,noPart,noPart,noPart,noPart,0,-119817.3411,-49666.2918,18,239670.6822,239670.7679,239796.4517,15.6947,10.8703,-119819.521396,4
30,myria,80,rcluster,-118693.290405273,AIC,237496.580811,67,13,-118690.8629,-40815.2246,55,237491.7257,237492.5011,237876.0215,31.4615,22.0754,-118691.792311,2
31,myria,80,rcluster,-118734.365478516,BIC,237711.385271,75,4,-118732.0695,-45861.2934,27,237518.1389,237518.3286,237706.7932,31.2973,18.9851,-118733.674683,2
32,myria,80,rcluster,-118693.290405273,AICc,237497.356239,67,13,-118690.9003,-40815.2246,55,237491.8006,237492.5760,237876.0964,31.4675,22.2305,-118691.796596,2
