,species,samp.size,search.algo,part.log.lik,part.IC,part.IC.score,num.partition.steps,num.partitions,max.log.lik,uncon.log.lik,num.free.params,AIC,AICc,BIC,sum.branch.lens,sum.int.branch.lens,cons.log.lik,cons.max.RF.dist
1,lopho,10,greedy,-113385.40625,AICc,227028.778065,8,2,-113385.3623,-15795.5979,122,227014.7245,227028.6901,227713.5913,45.5518,18.9886,-113385.362285,0
2,lopho,10,noPart,noPart,noPart,noPart,noPart,0,-113391.4561,-16866.2614,122,227026.9122,227040.8778,227725.7789,45.6359,19.0265,-113391.456118,0
3,lopho,10,rcluster,-113385.390625,AIC,227014.78125,8,2,-113385.3623,-15795.5979,122,227014.7245,227028.6901,227713.5913,45.5518,18.9886,-113385.362286,0
4,lopho,10,rcluster,-113385.390625,AICc,227028.746815,8,2,-113385.3623,-15795.5979,122,227014.7245,227028.6901,227713.5913,45.5518,18.9886,-113385.362286,0
5,myria,10,greedy,-36653.8891601562,AIC,73403.7783203,8,2,-36653.8531,-9395.7520,48,73403.7061,73407.1123,73656.4467,13.1152,3.8978,-36653.853403,0
6,myria,10,greedy,-36655.48828125,BIC,73652.4517595,9,1,-36655.4780,-10032.4534,47,73404.9560,73408.2209,73652.4312,13.1133,3.8934,-36655.487204,2
7,myria,10,greedy,-36653.8891601562,AICc,73407.1845477,8,2,-36653.8531,-9395.7520,48,73403.7061,73407.1123,73656.4467,13.1152,3.8978,-36653.853403,0
8,myria,10,noPart,noPart,noPart,noPart,noPart,0,-36655.5863,-10032.4534,48,73407.1726,73410.5788,73659.9132,13.1191,3.8945,-36655.599113,2
9,myria,10,rcluster,-36653.8676757812,AIC,73403.7353516,8,2,-36653.8531,-9395.7520,48,73403.7061,73407.1123,73656.4467,13.1152,3.8978,-36653.853403,0
10,myria,10,rcluster,-36655.48046875,BIC,73652.4361345,9,1,-36655.4780,-10032.4534,47,73404.9560,73408.2209,73652.4312,13.1133,3.8934,-36655.487204,2
11,lopho,20,noPart,noPart,noPart,noPart,noPart,0,-230565.0094,-41435.9118,122,461374.0187,461379.9394,462173.7134,45.6634,18.9613,-230565.009423,0
12,lopho,20,rcluster,-230551.45703125,AIC,461354.914062,14,5,-230551.4335,-35818.5832,126,461354.8670,461361.1857,462180.7812,45.6938,18.9772,-230551.433578,0
13,myria,20,greedy,-73036.859375,BIC,146455.680065,18,2,-73036.8352,-20147.0570,48,146169.6704,146171.3456,146455.6317,13.2767,4.1379,-73036.835381,0
14,myria,20,noPart,noPart,noPart,noPart,noPart,0,-73042.0246,-21748.7621,48,146180.0491,146181.7243,146466.0104,13.2661,4.1340,-73042.024726,0
15,myria,20,rcluster,-73032.5891113281,AIC,146169.178223,14,5,-73032.5785,-17915.6213,52,146169.1570,146171.1228,146478.9485,13.3151,4.1471,-73032.578725,0
16,myria,20,rcluster,-73036.861328125,BIC,146455.683972,18,2,-73036.8352,-20147.0570,48,146169.6704,146171.3456,146455.6317,13.2767,4.1379,-73036.835381,0
17,myria,20,rcluster,-73032.5891113281,AICc,146171.143986,14,5,-73032.5785,-17915.6213,52,146169.1570,146171.1228,146478.9484,13.3151,4.1471,-73032.578709,0
18,lopho,40,noPart,noPart,noPart,noPart,noPart,0,-462441.3549,-86349.6662,122,925126.7099,925129.6808,926009.0860,45.6929,19.0610,-462441.354946,0
19,myria,40,noPart,noPart,noPart,noPart,noPart,0,-145969.9553,-46044.0201,48,292035.9106,292036.7549,292354.3554,13.3311,4.1900,-145969.955636,0
20,myria,40,rcluster,-145958.011230469,BIC,292339.101439,37,3,-145957.9507,-42006.9875,49,292013.9014,292014.7809,292338.9804,13.3389,4.1929,-145957.950993,0
21,lopho,80,noPart,noPart,noPart,noPart,noPart,0,-924315.6345,-184791.3538,122,1848875.2689,1848876.7139,1849844.8236,45.6676,19.0842,-924315.634477,0
22,myria,80,noPart,noPart,noPart,noPart,noPart,0,-292796.1723,-100061.1947,48,585688.3446,585688.7554,586041.1495,13.2847,4.1867,-292796.172468,0
23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
