,species,samp.size,search.algo,part.log.lik,part.IC,part.IC.score,num.partition.steps,num.partitions,max.log.lik,uncon.log.lik,num.free.params,AIC,AICc,BIC,sum.branch.lens,sum.int.branch.lens,cons.log.lik,cons.max.RF.dist
1,lopho,10,noPart,noPart,noPart,noPart,noPart,0,-121738.0447,-23677.1446,122,243720.0894,243730.1235,244457.4163,62.3835,34.1377,-121738.045024,0
2,lopho,10,rcluster,-121734.14453125,AIC,243712.289062,8,2,-121734.1272,-21882.2372,122,243712.2544,243722.2885,244449.5813,62.3286,34.0990,-121734.127528,0
3,lopho,10,rcluster,-121737.46875,BIC,244448.220766,9,1,-121737.4597,-23677.1446,121,243716.9194,243726.7871,244448.2027,62.3402,34.1074,-121737.460056,2
4,lopho,10,rcluster,-121734.14453125,AICc,243722.323165,8,2,-121734.1279,-21882.2372,122,243712.2558,243722.2899,244449.5827,62.3286,34.0990,-121734.128209,0
5,myria,10,greedy,-57191.1669921875,AIC,114478.333984,8,2,-57191.0311,-16378.9916,48,114478.0623,114480.1048,114754.6873,34.0948,18.6874,-57191.024537,0
6,myria,10,greedy,-57193.58203125,BIC,114752.026064,9,1,-57193.5199,-17286.0190,47,114481.0398,114482.9982,114751.9018,34.0162,18.6401,-57193.495209,0
7,myria,10,greedy,-57191.1669921875,AICc,114480.376538,8,2,-57191.0311,-16378.9916,48,114478.0623,114480.1048,114754.6873,34.0948,18.6874,-57191.024537,0
8,myria,10,noPart,noPart,noPart,noPart,noPart,0,-57193.2861,-17286.0190,48,114482.5721,114484.6147,114759.1971,34.1411,18.7483,-57193.274248,0
9,myria,10,rcluster,-57191.119140625,AIC,114478.238281,8,2,-57191.0823,-16378.9916,48,114478.1645,114480.2071,114754.7896,34.0825,18.7013,-57192.490773,2
10,myria,10,rcluster,-57193.5625,BIC,114751.987002,9,1,-57193.5199,-17286.0190,47,114481.0398,114482.9982,114751.9018,34.0162,18.6401,-57193.495209,0
11,myria,10,rcluster,-57191.119140625,AICc,114480.280834,8,2,-57191.0823,-16378.9916,48,114478.1645,114480.2071,114754.7896,34.0825,18.7013,-57192.490773,2
12,lopho,20,noPart,noPart,noPart,noPart,noPart,0,-245308.3238,-50098.0902,122,490860.6476,490865.6372,491680.7626,62.3798,34.3800,-245308.324453,0
13,myria,20,noPart,noPart,noPart,noPart,noPart,0,higher,-----------------------,use,than,(s.e.,Log-likelihood,-37772.1602,1513.6861),#model,of
14,myria,20,rcluster,-114826.030273438,AIC,229756.060547,15,5,-114826.0144,-31881.1153,52,229756.0289,229757.1782,230093.3283,34.2724,18.6498,-114825.993802,0
15,myria,20,rcluster,-114833.046875,BIC,230064.960556,19,1,-114832.9844,-37772.1602,47,229759.9688,229760.9086,230064.8356,34.1281,18.5176,-114832.953080,0
16,myria,20,rcluster,-114826.030273438,AICc,229757.209838,15,5,-114826.0144,-31881.1153,52,229756.0289,229757.1782,230093.3283,34.2724,18.6498,-114825.994457,0
17,lopho,40,noPart,noPart,noPart,noPart,noPart,0,-487501.2621,-104863.9259,122,975246.5242,975249.0202,976149.9144,62.5752,34.6143,-487501.262581,0
18,myria,40,noPart,noPart,noPart,noPart,noPart,0,-223663.7978,-77523.6379,48,447423.5955,447424.1010,447766.4915,33.7989,17.7858,-223663.799347,0
19,lopho,80,noPart,noPart,noPart,noPart,noPart,0,-983131.2395,-229206.8387,122,1966506.4791,1966507.6739,1967499.1034,62.8373,35.0189,-983131.239378,0
20,myria,80,noPart,noPart,noPart,noPart,noPart,0,-443832.2689,-158013.2824,48,887760.5378,887760.8003,888134.7625,33.5967,17.6980,-443832.270073,0
21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
