INFO     | 2020-01-08 18:14:22,960 | config     | Loading configuration at './partition_finder.cfg'
INFO     | 2020-01-08 18:14:22,984 | config     | Setting 'alignment' to 'temp_align.phy'
INFO     | 2020-01-08 18:14:22,986 | config     | Setting 'branchlengths' to 'linked'
INFO     | 2020-01-08 18:14:22,988 | parser     | You set 'models' to: all
INFO     | 2020-01-08 18:14:23,073 | model_load | This analysis will use the following 116 models of molecular evolution
INFO     | 2020-01-08 18:14:23,075 | model_load | LG, WAG, MTREV, DAYHOFF, DCMUT, JTT, VT, BLOSUM62, CPREV, RTREV, MTMAM, MTART, HIVB, HIVW, LG4X, MTZOA, PMB, JTTDCMUT, FLU, STMTREV, LG+F, WAG+F, MTREV+F, DAYHOFF+F, DCMUT+F, JTT+F, VT+F, BLOSUM62+F, CPREV+F, RTREV+F, MTMAM+F, MTART+F, HIVB+F, HIVW+F, MTZOA+F, PMB+F, JTTDCMUT+F, FLU+F, STMTREV+F, LG+G, WAG+G, MTREV+G, DAYHOFF+G, DCMUT+G, JTT+G, VT+G, BLOSUM62+G, CPREV+G, RTREV+G, MTMAM+G, MTART+G, HIVB+G, HIVW+G, LG4M+G, MTZOA+G, PMB+G, JTTDCMUT+G, FLU+G, STMTREV+G, LG+G+F, WAG+G+F, MTREV+G+F, DAYHOFF+G+F, DCMUT+G+F, JTT+G+F, VT+G+F, BLOSUM62+G+F, CPREV+G+F, RTREV+G+F, MTMAM+G+F, MTART+G+F, HIVB+G+F, HIVW+G+F, MTZOA+G+F, PMB+G+F, JTTDCMUT+G+F, FLU+G+F, STMTREV+G+F, LG+I+G, WAG+I+G, MTREV+I+G, DAYHOFF+I+G, DCMUT+I+G, JTT+I+G, VT+I+G, BLOSUM62+I+G, CPREV+I+G, RTREV+I+G, MTMAM+I+G, MTART+I+G, HIVB+I+G, HIVW+I+G, MTZOA+I+G, PMB+I+G, JTTDCMUT+I+G, FLU+I+G, STMTREV+I+G, LG+I+G+F, WAG+I+G+F, MTREV+I+G+F, DAYHOFF+I+G+F, DCMUT+I+G+F, JTT+I+G+F, VT+I+G+F, BLOSUM62+I+G+F, CPREV+I+G+F, RTREV+I+G+F, MTMAM+I+G+F, MTART+I+G+F, HIVB+I+G+F, HIVW+I+G+F, MTZOA+I+G+F, PMB+I+G+F, JTTDCMUT+I+G+F, FLU+I+G+F, STMTREV+I+G+F
INFO     | 2020-01-08 18:14:23,076 | config     | Setting 'model_selection' to 'aic'
INFO     | 2020-01-08 18:14:23,232 | config     | Setting 'search' to 'rcluster'
INFO     | 2020-01-08 18:14:23,234 | config     | ------------------------ BEGINNING NEW RUN -------------------------------
INFO     | 2020-01-08 18:14:23,236 | config     | Looking for alignment file './temp_align.phy'...
INFO     | 2020-01-08 18:14:23,237 | analysis   | Beginning Analysis
INFO     | 2020-01-08 18:14:23,306 | alignment  | Reading alignment file './temp_align.phy'
INFO     | 2020-01-08 18:14:23,393 | analysis   | Starting tree will be estimated from the data.
INFO     | 2020-01-08 18:14:23,412 | raxml      | Estimating Maximum Likelihood tree with RAxML fast experimental tree search for ./analysis/start_tree/filtered_source.phy
INFO     | 2020-01-08 18:14:23,419 | raxml      | Using a separate LG+G model for each data block
INFO     | 2020-01-08 18:28:23,705 | raxml      | Estimating LG+G branch lengths on ML tree using all partitions
INFO     | 2020-01-08 18:34:38,993 | raxml      | ML topology estimation finished
INFO     | 2020-01-08 18:34:38,998 | analysis_m | Performing relaxed clustering analysis
