name,sites,lnL,parameters,subsets,aic,aicc,bic
start_scheme,20,-1243.33,140,20,2766.65,42246.65,2906.05
step_1,20,-1243.33,139,19,2764.65,41684.65,2903.06
step_2,20,-1243.33,138,18,2762.65,41126.65,2900.06
step_3,20,-1243.33,137,17,2760.65,40572.65,2897.07
step_4,20,-1243.36,136,16,2758.71,40022.71,2894.13
step_5,20,-1243.40,135,15,2756.81,39476.81,2891.23
step_6,20,-1243.48,134,14,2754.96,38934.96,2888.39
step_7,20,-1243.57,133,13,2753.15,38397.15,2885.58
step_8,20,-1243.68,132,12,2751.36,37863.36,2882.80
step_9,20,-1244.21,131,11,2750.42,37334.42,2880.86
step_10,20,-1244.80,130,10,2749.59,36809.59,2879.04
