Model selection results for subset: 3d9177343bdb48e4f9deebea2df0802c
Subset alignment stored here: ./analysis/phylofiles/3d9177343bdb48e4f9deebea2df0802c.phy
This subset contains the following data_blocks: gene17, gene16, gene5
Number of columns in subset: 3
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
LG              | 0               | -175.49005      | 350.9801         | 350.9801        | 350.9801       
WAG             | 0               | -177.01286      | 354.02573        | 354.02573       | 354.02573      
RTREV           | 0               | -177.59744      | 355.1949         | 355.1949        | 355.1949       
CPREV           | 0               | -177.80367      | 355.60733        | 355.60733       | 355.60733      
VT              | 0               | -177.90195      | 355.8039         | 355.8039        | 355.8039       
DAYHOFF         | 0               | -178.50905      | 357.0181         | 357.0181        | 357.0181       
BLOSUM62        | 0               | -178.54143      | 357.08286        | 357.08286       | 357.08286      
DCMUT           | 0               | -178.54666      | 357.09332        | 357.09332       | 357.09332      
PMB             | 0               | -178.62167      | 357.24335        | 357.24335       | 357.24335      
LG+G            | 1               | -175.89372      | 357.78745        | 353.78745       | 352.88605      
JTT             | 0               | -180.15216      | 360.30432        | 360.30432       | 360.30432      
JTTDCMUT        | 0               | -180.26752      | 360.53503        | 360.53503       | 360.53503      
FLU             | 0               | -180.40813      | 360.81625        | 360.81625       | 360.81625      
WAG+G           | 1               | -177.42076      | 360.84152        | 356.84152       | 355.94012      
RTREV+G         | 1               | -177.91537      | 361.83075        | 357.83075       | 356.92935      
CPREV+G         | 1               | -178.13985      | 362.2797         | 358.2797        | 357.3783       
VT+G            | 1               | -178.29791      | 362.59583        | 358.59583       | 357.69443      
PMB+G           | 1               | -178.73729      | 363.47458        | 359.47458       | 358.57318      
HIVB            | 0               | -182.51277      | 365.02554        | 365.02554       | 365.02554      
LG+I+G          | 2               | -175.50424      | 367.00848        | 355.00848       | 353.20572      
JTT+G           | 1               | -180.57922      | 367.15845        | 363.15845       | 362.25705      
DAYHOFF+G       | 1               | -180.65076      | 367.3015         | 363.3015        | 362.40012      
JTTDCMUT+G      | 1               | -180.68678      | 367.37357        | 363.37357       | 362.47217      
DCMUT+G         | 1               | -180.70378      | 367.40756        | 363.40756       | 362.50616      
LG4M+G          | 1               | -180.76617      | 367.53235        | 363.53235       | 362.63095      
FLU+G           | 1               | -180.83936      | 367.6787         | 363.6787        | 362.7773       
BLOSUM62+G      | 1               | -181.29259      | 368.58517        | 364.58517       | 363.68378      
WAG+I+G         | 2               | -177.02739      | 370.05478        | 358.05478       | 356.252        
MTZOA           | 0               | -185.19533      | 370.39066        | 370.39066       | 370.39066      
RTREV+I+G       | 2               | -177.61256      | 371.22513        | 359.22513       | 357.42236      
HIVB+G          | 1               | -182.80402      | 371.60803        | 367.60803       | 366.70663      
CPREV+I+G       | 2               | -177.8146       | 371.6292         | 359.6292        | 357.82645      
VT+I+G          | 2               | -177.91664      | 371.83328        | 359.83328       | 358.03052      
DAYHOFF+I+G     | 2               | -178.51546      | 373.0309         | 361.0309        | 359.22815      
BLOSUM62+I+G    | 2               | -178.55276      | 373.10553        | 361.10553       | 359.30276      
DCMUT+I+G       | 2               | -178.55318      | 373.10635        | 361.10635       | 359.3036       
PMB+I+G         | 2               | -178.634        | 373.268          | 361.268         | 359.46524      
JTT+I+G         | 2               | -180.1646       | 376.3292         | 364.3292        | 362.52643      
MTREV           | 0               | -188.16727      | 376.33453        | 376.33453       | 376.33453      
JTTDCMUT+I+G    | 2               | -180.28035      | 376.5607         | 364.5607        | 362.75793      
FLU+I+G         | 2               | -180.42043      | 376.84085        | 364.84085       | 363.0381       
MTZOA+G         | 1               | -185.67844      | 377.35687        | 373.35687       | 372.45547      
MTART           | 0               | -190.04732      | 380.09464        | 380.09464       | 380.09464      
HIVB+I+G        | 2               | -182.52827      | 381.05655        | 369.05655       | 367.25378      
MTREV+G         | 1               | -188.60875      | 383.2175         | 379.2175        | 378.3161       
MTZOA+I+G       | 2               | -185.20567      | 386.41135        | 374.41135       | 372.60858      
MTART+G         | 1               | -190.4837       | 386.9674         | 382.9674        | 382.066        
STMTREV         | 0               | -194.63127      | 389.26254        | 389.26254       | 389.26254      
