Model selection results for subset: 49d6c0c6f3f7529e7bc27f9c7076e2e8
Subset alignment stored here: ./analysis/phylofiles/49d6c0c6f3f7529e7bc27f9c7076e2e8.phy
This subset contains the following data_blocks: gene9, gene12
Number of columns in subset: 2
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
MTZOA           | 0               | -179.139        | 358.278          | 358.278         | 358.278        
MTZOA+G         | 1               | -179.60744      | 365.21487        | 361.21487       | 359.90802      
LG              | 0               | -182.68802      | 365.37604        | 365.37604       | 365.37604      
MTART           | 0               | -183.78818      | 367.57635        | 367.57635       | 367.57635      
WAG             | 0               | -184.79124      | 369.5825         | 369.5825        | 369.5825       
MTREV           | 0               | -184.95209      | 369.90417        | 369.90417       | 369.90417      
RTREV           | 0               | -185.0886       | 370.1772         | 370.1772        | 370.1772       
PMB             | 0               | -185.13094      | 370.26187        | 370.26187       | 370.26187      
LG+G            | 1               | -182.95793      | 371.91586        | 367.91586       | 366.609        
VT              | 0               | -186.38051      | 372.76102        | 372.76102       | 372.76102      
BLOSUM62        | 0               | -186.50212      | 373.00424        | 373.00424       | 373.00424      
MTART+G         | 1               | -184.12303      | 374.24606        | 370.24606       | 368.9392       
MTZOA+I+G       | 2               | -179.15257      | 374.30515        | 362.30515       | 359.69144      
WAG+G           | 1               | -185.01512      | 376.03024        | 372.03024       | 370.7234       
JTTDCMUT        | 0               | -188.05106      | 376.1021         | 376.1021        | 376.1021       
JTT             | 0               | -188.11783      | 376.23566        | 376.23566       | 376.23566      
CPREV           | 0               | -188.18619      | 376.37238        | 376.37238       | 376.37238      
RTREV+G         | 1               | -185.25612      | 376.51224        | 372.51224       | 371.20538      
DCMUT           | 0               | -188.31055      | 376.6211         | 376.6211        | 376.6211       
DAYHOFF         | 0               | -188.31374      | 376.62747        | 376.62747       | 376.62747      
MTREV+G         | 1               | -185.32785      | 376.6557         | 372.6557        | 371.34885      
PMB+G           | 1               | -185.35457      | 376.70914        | 372.70914       | 371.40228      
VT+G            | 1               | -186.61021      | 379.22043        | 375.22043       | 373.91357      
BLOSUM62+G      | 1               | -186.77873      | 379.55746        | 375.55746       | 374.2506       
LG4M+G          | 1               | -186.96385      | 379.9277         | 375.9277        | 374.62085      
MTMAM           | 0               | -190.58524      | 381.17047        | 381.17047       | 381.17047      
LG+I+G          | 2               | -182.70386      | 381.4077         | 369.4077        | 366.794        
JTTDCMUT+G      | 1               | -188.32855      | 382.6571         | 378.6571        | 377.35025      
JTT+G           | 1               | -188.41103      | 382.82205        | 378.82205       | 377.5152       
CPREV+G         | 1               | -188.44955      | 382.8991         | 378.8991        | 377.59225      
DCMUT+G         | 1               | -188.56657      | 383.13315        | 379.13315       | 377.8263       
DAYHOFF+G       | 1               | -188.5769       | 383.1538         | 379.1538        | 377.84695      
MTART+I+G       | 2               | -183.80313      | 383.60626        | 371.60626       | 368.99255      
FLU             | 0               | -192.67552      | 385.35104        | 385.35104       | 385.35104      
WAG+I+G         | 2               | -184.80742      | 385.61484        | 373.61484       | 371.00113      
MTREV+I+G       | 2               | -184.96617      | 385.93234        | 373.93234       | 371.31863      
RTREV+I+G       | 2               | -185.10498      | 386.20996        | 374.20996       | 371.59625      
PMB+I+G         | 2               | -185.1472       | 386.2944         | 374.2944        | 371.6807       
MTMAM+G         | 1               | -190.811        | 387.622          | 383.622         | 382.31516      
