Model selection results for subset: 4d49f1b1a28d6ca49a380cac93543d8d
Subset alignment stored here: ./analysis/phylofiles/4d49f1b1a28d6ca49a380cac93543d8d.phy
This subset contains the following data_blocks: gene14
Number of columns in subset: 1
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
MTZOA           | 0               | -14.415884      | 28.831768        | 28.831768       | 28.831768      
MTART           | 0               | -14.550914      | 29.101828        | 29.101828       | 29.101828      
LG              | 0               | -14.596415      | 29.19283         | 29.19283        | 29.19283       
VT              | 0               | -14.762242      | 29.524485        | 29.524485       | 29.524485      
MTREV           | 0               | -14.770304      | 29.540607        | 29.540607       | 29.540607      
JTTDCMUT        | 0               | -14.779958      | 29.559916        | 29.559916       | 29.559916      
JTT             | 0               | -14.791582      | 29.583164        | 29.583164       | 29.583164      
CPREV           | 0               | -14.825131      | 29.650263        | 29.650263       | 29.650263      
BLOSUM62        | 0               | -14.854126      | 29.708252        | 29.708252       | 29.708252      
WAG             | 0               | -14.860314      | 29.720629        | 29.720629       | 29.720629      
PMB             | 0               | -14.914042      | 29.828085        | 29.828085       | 29.828085      
RTREV           | 0               | -14.929253      | 29.858505        | 29.858505       | 29.858505      
MTMAM           | 0               | -15.055664      | 30.111328        | 30.111328       | 30.111328      
DAYHOFF         | 0               | -15.19883       | 30.39766         | 30.39766        | 30.39766       
DCMUT           | 0               | -15.198982      | 30.397964        | 30.397964       | 30.397964      
HIVB            | 0               | -15.344496      | 30.688992        | 30.688992       | 30.688992      
STMTREV         | 0               | -15.386796      | 30.773592        | 30.773592       | 30.773592      
FLU             | 0               | -15.617174      | 31.234348        | 31.234348       | 31.234348      
HIVW            | 0               | -16.381824      | 32.76365         | 32.76365        | 32.76365       
MTZOA+G         | 1               | -14.549928      | 35.099854        | 31.099855       | 29.099855      
MTART+G         | 1               | -14.673926      | 35.347855        | 31.347853       | 29.347853      
LG+G            | 1               | -14.727833      | 35.455666        | 31.455666       | 29.455666      
JTTDCMUT+G      | 1               | -14.836688      | 35.673378        | 31.673376       | 29.673376      
VT+G            | 1               | -14.842311      | 35.684624        | 31.684622       | 29.684622      
JTT+G           | 1               | -14.845335      | 35.69067         | 31.69067        | 29.69067       
MTREV+G         | 1               | -14.872644      | 35.74529         | 31.745289       | 29.745289      
WAG+G           | 1               | -14.92486       | 35.84972         | 31.84972        | 29.84972       
CPREV+G         | 1               | -14.931153      | 35.862305        | 31.862307       | 29.862307      
BLOSUM62+G      | 1               | -14.987598      | 35.975197        | 31.975197       | 29.975197      
LG4M+G          | 1               | -14.989569      | 35.979137        | 31.979137       | 29.979137      
