Model selection results for subset: 65d37f913ac8a072ab9bf6e81f15c079
Subset alignment stored here: ./analysis/phylofiles/65d37f913ac8a072ab9bf6e81f15c079.phy
This subset contains the following data_blocks: gene18
Number of columns in subset: 1
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
LG              | 0               | -115.30577      | 230.61154        | 230.61154       | 230.61154      
RTREV           | 0               | -116.75841      | 233.51682        | 233.51682       | 233.51682      
HIVB            | 0               | -117.487946     | 234.97589        | 234.97589       | 234.97589      
JTT             | 0               | -117.79951      | 235.59901        | 235.59901       | 235.59901      
JTTDCMUT        | 0               | -117.820015     | 235.64003        | 235.64003       | 235.64003      
LG4M+G          | 1               | -115.86804      | 237.73608        | 233.73608       | 231.73608      
FLU             | 0               | -119.0863       | 238.1726         | 238.1726        | 238.1726       
LG+G            | 1               | -116.69178      | 239.38356        | 235.38356       | 233.38356      
VT              | 0               | -120.18465      | 240.3693         | 240.3693        | 240.3693       
CPREV           | 0               | -120.3527       | 240.7054         | 240.7054        | 240.7054       
WAG             | 0               | -120.359245     | 240.71849        | 240.71849       | 240.71849      
DAYHOFF         | 0               | -121.12322      | 242.24644        | 242.24644       | 242.24644      
DCMUT           | 0               | -121.128494     | 242.25699        | 242.25699       | 242.25699      
RTREV+G         | 1               | -118.14443      | 242.28886        | 238.28886       | 236.28886      
HIVB+G          | 1               | -118.87391      | 243.74782        | 239.74782       | 237.74782      
BLOSUM62        | 0               | -121.96059      | 243.92117        | 243.92117       | 243.92117      
JTT+G           | 1               | -119.18541      | 244.37082        | 240.37082       | 238.37082      
JTTDCMUT+G      | 1               | -119.20592      | 244.41183        | 240.41183       | 238.41183      
PMB             | 0               | -122.45053      | 244.90106        | 244.90106       | 244.90106      
FLU+G           | 1               | -120.472176     | 246.94435        | 242.94435       | 240.94435      
VT+G            | 1               | -121.57064      | 249.14128        | 245.14128       | 243.14128      
LG+I+G          | 2               | -116.69178      | 249.38356        | 237.38356       | 233.38356      
CPREV+G         | 1               | -121.73837      | 249.47675        | 245.47675       | 243.47675      
WAG+G           | 1               | -121.74525      | 249.4905         | 245.4905        | 243.4905       
MTZOA           | 0               | -125.225266     | 250.45053        | 250.45053       | 250.45053      
DAYHOFF+G       | 1               | -122.50914      | 251.01828        | 247.01828       | 245.01828      
DCMUT+G         | 1               | -122.51441      | 251.02882        | 247.02882       | 245.02882      
HIVW            | 0               | -125.60405      | 251.2081         | 251.2081        | 251.2081       
RTREV+I+G       | 2               | -118.144424     | 252.28885        | 240.28885       | 236.28885      
BLOSUM62+G      | 1               | -123.34654      | 252.69308        | 248.69308       | 246.69308      
PMB+G           | 1               | -123.836494     | 253.67299        | 249.67299       | 247.67299      
HIVB+I+G        | 2               | -118.8739       | 253.7478         | 241.7478        | 237.7478       
JTT+I+G         | 2               | -119.18541      | 254.37082        | 242.37082       | 238.37082      
JTTDCMUT+I+G    | 2               | -119.20591      | 254.41182        | 242.41182       | 238.41182      
STMTREV         | 0               | -127.26955      | 254.5391         | 254.5391        | 254.5391       
FLU+I+G         | 2               | -120.47217      | 256.94434        | 244.94434       | 240.94434      
VT+I+G          | 2               | -121.57064      | 259.1413         | 247.14128       | 243.14128      
MTZOA+G         | 1               | -126.61126      | 259.22253        | 255.22252       | 253.22252      
CPREV+I+G       | 2               | -121.738365     | 259.47675        | 247.47673       | 243.47673      
WAG+I+G         | 2               | -121.74525      | 259.49048        | 247.4905        | 243.4905       
HIVW+G          | 1               | -126.98718      | 259.97437        | 255.97437       | 253.97437      
MTART           | 0               | -130.04459      | 260.08917        | 260.08917       | 260.08917      
DAYHOFF+I+G     | 2               | -122.50913      | 261.01825        | 249.01826       | 245.01826      
DCMUT+I+G       | 2               | -122.514404     | 261.0288         | 249.02881       | 245.02881      
MTREV           | 0               | -130.7314       | 261.4628         | 261.4628        | 261.4628       
BLOSUM62+I+G    | 2               | -123.346535     | 262.69305        | 250.69307       | 246.69307      
STMTREV+G       | 1               | -128.65399      | 263.30798        | 259.30798       | 257.30798      
PMB+I+G         | 2               | -123.83649      | 263.67297        | 251.67297       | 247.67297      
MTMAM           | 0               | -133.23422      | 266.46844        | 266.46844       | 266.46844      
MTART+G         | 1               | -131.43053      | 268.86105        | 264.86105       | 262.86105      
MTZOA+I+G       | 2               | -126.61126      | 269.22253        | 257.22253       | 253.22252      
HIVW+I+G        | 2               | -126.986885     | 269.97375        | 257.97375       | 253.97377      
MTREV+G         | 1               | -132.11752      | 270.23505        | 266.23505       | 264.23505      
STMTREV+I+G     | 2               | -128.65387      | 273.30774        | 261.30774       | 257.30774      
MTMAM+G         | 1               | -134.62039      | 275.24078        | 271.24078       | 269.24078      
MTART+I+G       | 2               | -131.43053      | 278.86105        | 266.86105       | 262.86105      
MTREV+I+G       | 2               | -132.11752      | 280.23505        | 268.23505       | 264.23505      
MTMAM+I+G       | 2               | -134.62039      | 285.24078        | 273.24078       | 269.24078      
LG4X            | 6               | -115.55843      | 327.11688        | 243.11687       | 231.11687      
LG+F            | 19              | -115.30577      | 1028.6116        | 268.61154       | 230.61154      
RTREV+F         | 19              | -116.75841      | 1031.5168        | 271.5168        | 233.51682      
HIVB+F          | 19              | -117.487946     | 1032.9758        | 272.9759        | 234.97589      
JTT+F           | 19              | -117.79951      | 1033.599         | 273.599         | 235.59901      
JTTDCMUT+F      | 19              | -117.820015     | 1033.64          | 273.64          | 235.64003      
FLU+F           | 19              | -119.0863       | 1036.1726        | 276.1726        | 238.1726       
VT+F            | 19              | -120.18465      | 1038.3693        | 278.3693        | 240.3693       
CPREV+F         | 19              | -120.3527       | 1038.7054        | 278.70538       | 240.7054       
WAG+F           | 19              | -120.359245     | 1038.7185        | 278.7185        | 240.71849      
DAYHOFF+F       | 19              | -121.12322      | 1040.2465        | 280.24646       | 242.24644      
DCMUT+F         | 19              | -121.128494     | 1040.257         | 280.257         | 242.25699      
BLOSUM62+F      | 19              | -121.96059      | 1041.9211        | 281.92117       | 243.92117      
PMB+F           | 19              | -122.45053      | 1042.9011        | 282.90106       | 244.90106      
MTZOA+F         | 19              | -125.225266     | 1048.4506        | 288.45053       | 250.45053      
HIVW+F          | 19              | -125.60405      | 1049.2081        | 289.2081        | 251.2081       
STMTREV+F       | 19              | -127.26955      | 1052.5391        | 292.5391        | 254.5391       
MTART+F         | 19              | -130.04459      | 1058.0891        | 298.08917       | 260.08917      
MTREV+F         | 19              | -130.7314       | 1059.4628        | 299.4628        | 261.4628       
MTMAM+F         | 19              | -133.23422      | 1064.4685        | 304.46844       | 266.46844      
RTREV+G+F       | 20              | -98.246506      | 1076.493         | 236.49301       | 196.49301      
LG+G+F          | 20              | -99.27644       | 1078.5529        | 238.55289       | 198.55289      
MTZOA+G+F       | 20              | -99.60939       | 1079.2188        | 239.21878       | 199.21878      
MTART+G+F       | 20              | -99.90583       | 1079.8116        | 239.81166       | 199.81166      
BLOSUM62+G+F    | 20              | -100.235275     | 1080.4706        | 240.47055       | 200.47055      
VT+G+F          | 20              | -101.04617      | 1082.0923        | 242.09235       | 202.09235      
PMB+G+F         | 20              | -101.074036     | 1082.1481        | 242.14807       | 202.14807      
WAG+G+F         | 20              | -101.14226      | 1082.2845        | 242.28452       | 202.28452      
FLU+G+F         | 20              | -101.37787      | 1082.7557        | 242.75574       | 202.75574      
CPREV+G+F       | 20              | -101.65402      | 1083.3081        | 243.30804       | 203.30804      
JTTDCMUT+G+F    | 20              | -101.93416      | 1083.8683        | 243.86832       | 203.86832      
JTT+G+F         | 20              | -102.01119      | 1084.0223        | 244.02238       | 204.02238      
MTREV+G+F       | 20              | -102.303116     | 1084.6062        | 244.60623       | 204.60623      
HIVB+G+F        | 20              | -103.38189      | 1086.7638        | 246.76378       | 206.76378      
STMTREV+G+F     | 20              | -103.63573      | 1087.2715        | 247.27145       | 207.27145      
DCMUT+G+F       | 20              | -103.789375     | 1087.5787        | 247.57875       | 207.57875      
DAYHOFF+G+F     | 20              | -103.80304      | 1087.6061        | 247.60608       | 207.60608      
MTMAM+G+F       | 20              | -104.150696     | 1088.3014        | 248.30139       | 208.30139      
HIVW+G+F        | 20              | -106.896866     | 1093.7937        | 253.79373       | 213.79373      
LG+I+G+F        | 21              | -97.90468       | 1161.8093        | 237.80936       | 195.80936      
MTZOA+I+G+F     | 21              | -98.24235       | 1162.4847        | 238.4847        | 196.4847       
RTREV+I+G+F     | 21              | -98.246506      | 1162.493         | 238.49301       | 196.49301      
MTART+I+G+F     | 21              | -98.53371       | 1163.0674        | 239.06741       | 197.06741      
BLOSUM62+I+G+F  | 21              | -98.86163       | 1163.7233        | 239.72327       | 197.72327      
VT+I+G+F        | 21              | -99.672424      | 1165.3448        | 241.34485       | 199.34485      
PMB+I+G+F       | 21              | -99.701836      | 1165.4037        | 241.40367       | 199.40367      
WAG+I+G+F       | 21              | -99.774315      | 1165.5486        | 241.54863       | 199.54863      
FLU+I+G+F       | 21              | -100.009056     | 1166.0181        | 242.01811       | 200.01811      
CPREV+I+G+F     | 21              | -100.28744      | 1166.5748        | 242.57487       | 200.57487      
JTTDCMUT+I+G+F  | 21              | -100.56628      | 1167.1326        | 243.13255       | 201.13255      
JTT+I+G+F       | 21              | -100.643616     | 1167.2872        | 243.28723       | 201.28723      
MTREV+I+G+F     | 21              | -100.93098      | 1167.8619        | 243.86195       | 201.86195      
HIVB+I+G+F      | 21              | -102.01804      | 1170.0361        | 246.03609       | 204.03609      
STMTREV+I+G+F   | 21              | -102.27889      | 1170.5577        | 246.55779       | 204.55779      
DCMUT+I+G+F     | 21              | -102.42457      | 1170.8491        | 246.84914       | 204.84914      
DAYHOFF+I+G+F   | 21              | -102.43834      | 1170.8767        | 246.87668       | 204.87668      
MTMAM+I+G+F     | 21              | -102.78534      | 1171.5707        | 247.57068       | 205.57068      
HIVW+I+G+F      | 21              | -105.69001      | 1177.38          | 253.38002       | 211.38002      
