Model selection results for subset: 6f3b702cba2089f5c82bc6ff751b0257
Subset alignment stored here: ./analysis/phylofiles/6f3b702cba2089f5c82bc6ff751b0257.phy
This subset contains the following data_blocks: gene19
Number of columns in subset: 1
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
FLU             | 0               | -73.3491        | 146.6982         | 146.6982        | 146.6982       
MTART           | 0               | -74.32202       | 148.64404        | 148.64404       | 148.64404      
CPREV           | 0               | -75.27161       | 150.54321        | 150.54321       | 150.54321      
MTZOA           | 0               | -75.35568       | 150.71136        | 150.71136       | 150.71136      
LG              | 0               | -75.42734       | 150.85468        | 150.85468       | 150.85468      
HIVB            | 0               | -75.94098       | 151.88196        | 151.88196       | 151.88196      
FLU+G           | 1               | -73.55742       | 153.11484        | 149.11484       | 147.11484      
MTREV           | 0               | -76.83393       | 153.66786        | 153.66786       | 153.66786      
JTT             | 0               | -76.851105      | 153.70221        | 153.70221       | 153.70221      
JTTDCMUT        | 0               | -76.88096       | 153.76192        | 153.76192       | 153.76192      
LG4M+G          | 1               | -73.941864      | 153.88373        | 149.88373       | 147.88373      
STMTREV         | 0               | -76.99227       | 153.98454        | 153.98454       | 153.98454      
RTREV           | 0               | -77.26509       | 154.53018        | 154.53018       | 154.53018      
BLOSUM62        | 0               | -78.09186       | 156.18372        | 156.18372       | 156.18372      
MTMAM           | 0               | -78.11747       | 156.23494        | 156.23494       | 156.23494      
WAG             | 0               | -78.1782        | 156.3564         | 156.3564        | 156.3564       
HIVW            | 0               | -78.327774      | 156.65555        | 156.65555       | 156.65555      
CPREV+G         | 1               | -75.4787        | 156.9574         | 152.9574        | 150.9574       
VT              | 0               | -78.60996       | 157.21992        | 157.21992       | 157.21992      
LG+G            | 1               | -75.62425       | 157.2485         | 153.2485        | 151.2485       
MTART+G         | 1               | -75.69744       | 157.39488        | 153.39488       | 151.39488      
HIVB+G          | 1               | -76.1258        | 158.2516         | 154.2516        | 152.2516       
PMB             | 0               | -79.19676       | 158.39352        | 158.39352       | 158.39352      
MTZOA+G         | 1               | -76.730515      | 159.46103        | 155.46103       | 153.46103      
JTT+G           | 1               | -77.03993       | 160.07986        | 156.07986       | 154.07986      
JTTDCMUT+G      | 1               | -77.07273       | 160.14546        | 156.14546       | 154.14546      
STMTREV+G       | 1               | -77.140175      | 160.28035        | 156.28035       | 154.28035      
RTREV+G         | 1               | -77.42881       | 160.85762        | 156.85762       | 154.85762      
DAYHOFF         | 0               | -80.94972       | 161.89944        | 161.89944       | 161.89944      
DCMUT           | 0               | -81.01158       | 162.02316        | 162.02316       | 162.02316      
MTREV+G         | 1               | -78.215416      | 162.43083        | 158.43083       | 156.43083      
BLOSUM62+G      | 1               | -78.266594      | 162.53319        | 158.53319       | 156.53319      
FLU+I+G         | 2               | -73.35601       | 162.71202        | 150.71202       | 146.71202      
WAG+G           | 1               | -78.368614      | 162.73723        | 158.73723       | 156.73723      
HIVW+G          | 1               | -78.467514      | 162.93503        | 158.93503       | 156.93503      
VT+G            | 1               | -78.78607       | 163.57214        | 159.57214       | 157.57214      
PMB+G           | 1               | -79.38219       | 164.76437        | 160.76437       | 158.76437      
MTMAM+G         | 1               | -79.49016       | 164.98032        | 160.98032       | 158.98032      
CPREV+I+G       | 2               | -75.27855       | 166.5571         | 154.5571        | 150.5571       
LG+I+G          | 2               | -75.43445       | 166.8689         | 154.8689        | 150.8689       
MTART+I+G       | 2               | -75.69676       | 167.39352        | 155.39352       | 151.39352      
HIVB+I+G        | 2               | -75.948296      | 167.89659        | 155.89659       | 151.89659      
DAYHOFF+G       | 1               | -81.14107       | 168.28214        | 164.28214       | 162.28214      
DCMUT+G         | 1               | -81.202736      | 168.40547        | 164.40547       | 162.40547      
MTZOA+I+G       | 2               | -76.72976       | 169.45952        | 157.45952       | 153.45952      
JTT+I+G         | 2               | -76.858376      | 169.71675        | 157.71675       | 153.71675      
JTTDCMUT+I+G    | 2               | -76.88819       | 169.77638        | 157.77638       | 153.77638      
STMTREV+I+G     | 2               | -76.99996       | 169.99992        | 157.99992       | 153.99992      
RTREV+I+G       | 2               | -77.27257       | 170.54514        | 158.54514       | 154.54514      
BLOSUM62+I+G    | 2               | -78.09932       | 172.19864        | 160.19864       | 156.19864      
WAG+I+G         | 2               | -78.18547       | 172.37094        | 160.37094       | 156.37094      
MTREV+I+G       | 2               | -78.215256      | 172.43051        | 160.43051       | 156.43051      
HIVW+I+G        | 2               | -78.33542       | 172.67084        | 160.67084       | 156.67084      
VT+I+G          | 2               | -78.61743       | 173.23486        | 161.23486       | 157.23486      
PMB+I+G         | 2               | -79.20413       | 174.40826        | 162.40826       | 158.40826      
MTMAM+I+G       | 2               | -79.48918       | 174.97836        | 162.97836       | 158.97836      
DAYHOFF+I+G     | 2               | -80.95695       | 177.9139         | 165.9139        | 161.9139       
DCMUT+I+G       | 2               | -81.01881       | 178.03761        | 166.03761       | 162.03761      
LG4X            | 6               | -73.57893       | 243.15787        | 159.15787       | 147.15787      
FLU+F           | 19              | -73.3491        | 944.6982         | 184.6982        | 146.6982       
MTART+F         | 19              | -74.32202       | 946.64404        | 186.64404       | 148.64404      
CPREV+F         | 19              | -75.27161       | 948.5432         | 188.54321       | 150.54321      
MTZOA+F         | 19              | -75.35568       | 948.71136        | 188.71136       | 150.71136      
LG+F            | 19              | -75.42734       | 948.8547         | 188.85468       | 150.85468      
HIVB+F          | 19              | -75.94098       | 949.88196        | 189.88196       | 151.88196      
MTREV+F         | 19              | -76.83393       | 951.66785        | 191.66786       | 153.66786      
JTT+F           | 19              | -76.851105      | 951.7022         | 191.70221       | 153.70221      
JTTDCMUT+F      | 19              | -76.88096       | 951.7619         | 191.76192       | 153.76192      
STMTREV+F       | 19              | -76.99227       | 951.98456        | 191.98454       | 153.98454      
RTREV+F         | 19              | -77.26509       | 952.53015        | 192.53018       | 154.53018      
BLOSUM62+F      | 19              | -78.09186       | 954.1837         | 194.18372       | 156.18372      
MTMAM+F         | 19              | -78.11747       | 954.2349         | 194.23494       | 156.23494      
WAG+F           | 19              | -78.1782        | 954.3564         | 194.3564        | 156.3564       
HIVW+F          | 19              | -78.327774      | 954.6555         | 194.65555       | 156.65555      
VT+F            | 19              | -78.60996       | 955.2199         | 195.21992       | 157.21992      
PMB+F           | 19              | -79.19676       | 956.39355        | 196.39352       | 158.39352      
DAYHOFF+F       | 19              | -80.94972       | 959.8994         | 199.89944       | 161.89944      
DCMUT+F         | 19              | -81.01158       | 960.0232         | 200.02316       | 162.02316      
PMB+G+F         | 20              | -69.07829       | 1018.1566        | 178.15659       | 138.15659      
BLOSUM62+G+F    | 20              | -69.19847       | 1018.397         | 178.39694       | 138.39694      
VT+G+F          | 20              | -69.22665       | 1018.4533        | 178.4533        | 138.4533       
WAG+G+F         | 20              | -69.231995      | 1018.464         | 178.46399       | 138.46399      
DAYHOFF+G+F     | 20              | -69.377014      | 1018.754         | 178.75403       | 138.75403      
DCMUT+G+F       | 20              | -69.3855        | 1018.771         | 178.771         | 138.771        
RTREV+G+F       | 20              | -69.444885      | 1018.8898        | 178.88977       | 138.88977      
CPREV+G+F       | 20              | -69.60365       | 1019.2073        | 179.2073        | 139.2073       
JTTDCMUT+G+F    | 20              | -69.931625      | 1019.8633        | 179.86325       | 139.86325      
LG+G+F          | 20              | -69.97522       | 1019.95044       | 179.95044       | 139.95044      
JTT+G+F         | 20              | -70.045845      | 1020.0917        | 180.09169       | 140.09169      
STMTREV+G+F     | 20              | -70.32367       | 1020.64734       | 180.64734       | 140.64734      
HIVB+G+F        | 20              | -70.65363       | 1021.30725       | 181.30727       | 141.30727      
HIVW+G+F        | 20              | -71.29252       | 1022.585         | 182.58504       | 142.58504      
FLU+G+F         | 20              | -71.48947       | 1022.97894       | 182.97894       | 142.97894      
MTREV+G+F       | 20              | -71.69881       | 1023.3976        | 183.39761       | 143.39761      
MTART+G+F       | 20              | -72.42368       | 1024.8474        | 184.84737       | 144.84737      
MTZOA+G+F       | 20              | -73.65998       | 1027.32          | 187.31996       | 147.31996      
MTMAM+G+F       | 20              | -76.409836      | 1032.8197        | 192.81967       | 152.81967      
PMB+I+G+F       | 21              | -67.789795      | 1101.5796        | 177.57959       | 135.57959      
BLOSUM62+I+G+F  | 21              | -67.92687       | 1101.8538        | 177.85374       | 135.85374      
VT+I+G+F        | 21              | -67.952515      | 1101.905         | 177.90503       | 135.90503      
DAYHOFF+I+G+F   | 21              | -68.13961       | 1102.2792        | 178.27922       | 136.27922      
DCMUT+I+G+F     | 21              | -68.14756       | 1102.2952        | 178.29512       | 136.29512      
WAG+I+G+F       | 21              | -68.174835      | 1102.3496        | 178.34967       | 136.34967      
RTREV+I+G+F     | 21              | -68.200676      | 1102.4014        | 178.40135       | 136.40135      
CPREV+I+G+F     | 21              | -68.341385      | 1102.6827        | 178.68277       | 136.68277      
LG+I+G+F        | 21              | -68.726685      | 1103.4534        | 179.45337       | 137.45337      
JTTDCMUT+I+G+F  | 21              | -68.91643       | 1103.8329        | 179.83286       | 137.83286      
STMTREV+I+G+F   | 21              | -69.031494      | 1104.063         | 180.06299       | 138.06299      
JTT+I+G+F       | 21              | -69.03653       | 1104.073         | 180.07306       | 138.07306      
HIVB+I+G+F      | 21              | -69.39363       | 1104.7872        | 180.78726       | 138.78726      
HIVW+I+G+F      | 21              | -70.220314      | 1106.4407        | 182.44063       | 140.44063      
FLU+I+G+F       | 21              | -70.444115      | 1106.8882        | 182.88823       | 140.88823      
MTREV+I+G+F     | 21              | -70.462036      | 1106.9241        | 182.92407       | 140.92407      
