Model selection results for subset: 82779a05806adededf9a61d03c56e753
Subset alignment stored here: ./analysis/phylofiles/82779a05806adededf9a61d03c56e753.phy
This subset contains the following data_blocks: gene15
Number of columns in subset: 1
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
FLU             | 0               | -120.89515      | 241.7903         | 241.7903        | 241.7903       
LG              | 0               | -122.447395     | 244.89479        | 244.89479       | 244.89479      
JTT             | 0               | -122.62772      | 245.25545        | 245.25545       | 245.25545      
JTTDCMUT        | 0               | -122.73186      | 245.46371        | 245.46371       | 245.46371      
HIVW            | 0               | -123.40529      | 246.81058        | 246.81058       | 246.81058      
VT              | 0               | -124.03377      | 248.06754        | 248.06754       | 248.06754      
FLU+G           | 1               | -121.14504      | 248.29008        | 244.29008       | 242.29008      
WAG             | 0               | -124.17944      | 248.35889        | 248.35889       | 248.35889      
HIVB            | 0               | -124.28577      | 248.57153        | 248.57153       | 248.57153      
RTREV           | 0               | -124.50155      | 249.0031         | 249.0031        | 249.0031       
BLOSUM62        | 0               | -125.2945       | 250.589          | 250.589         | 250.589        
LG+G            | 1               | -122.69088      | 251.38176        | 247.38176       | 245.38176      
CPREV           | 0               | -125.87562      | 251.75124        | 251.75124       | 251.75124      
JTT+G           | 1               | -122.93906      | 251.87811        | 247.87811       | 245.87811      
JTTDCMUT+G      | 1               | -122.99688      | 251.99376        | 247.99376       | 245.99376      
PMB             | 0               | -126.32433      | 252.64867        | 252.64867       | 252.64867      
HIVW+G          | 1               | -123.64891      | 253.29782        | 249.29782       | 247.29782      
STMTREV         | 0               | -127.00023      | 254.00046        | 254.00046       | 254.00046      
DAYHOFF         | 0               | -127.04662      | 254.09325        | 254.09325       | 254.09325      
DCMUT           | 0               | -127.05187      | 254.10374        | 254.10374       | 254.10374      
LG4M+G          | 1               | -124.91416      | 255.82832        | 251.82832       | 249.82832      
HIVB+G          | 1               | -124.99693      | 255.99387        | 251.99387       | 249.99387      
VT+G            | 1               | -125.00036      | 256.00073        | 252.00072       | 250.00072      
WAG+G           | 1               | -125.13015      | 256.2603         | 252.2603        | 250.2603       
RTREV+G         | 1               | -125.185135     | 256.37027        | 252.37027       | 250.37027      
FLU+I+G         | 2               | -120.90382      | 257.80762        | 245.80763       | 241.80763      
BLOSUM62+G      | 1               | -126.254326     | 258.50867        | 254.50865       | 252.50865      
CPREV+G         | 1               | -126.523254     | 259.0465         | 255.04651       | 253.04651      
STMTREV+G       | 1               | -127.24883      | 260.49768        | 256.49768       | 254.49767      
DAYHOFF+G       | 1               | -127.294365     | 260.58875        | 256.58875       | 254.58873      
DCMUT+G         | 1               | -127.29948      | 260.59894        | 256.59894       | 254.59895      
PMB+G           | 1               | -127.425896     | 260.8518         | 256.8518        | 254.85179      
LG+I+G          | 2               | -122.45694      | 260.91388        | 248.91388       | 244.91388      
JTT+I+G         | 2               | -122.637566     | 261.27515        | 249.27513       | 245.27513      
JTTDCMUT+I+G    | 2               | -122.74166      | 261.48334        | 249.48332       | 245.48332      
HIVW+I+G        | 2               | -123.414085     | 262.8282         | 250.82817       | 246.82817      
VT+I+G          | 2               | -124.04377      | 264.08752        | 252.08754       | 248.08754      
WAG+I+G         | 2               | -124.18942      | 264.37885        | 252.37885       | 248.37885      
HIVB+I+G        | 2               | -124.2957       | 264.5914         | 252.5914        | 248.5914       
RTREV+I+G       | 2               | -124.51149      | 265.02298        | 253.02298       | 249.02298      
BLOSUM62+I+G    | 2               | -125.30455      | 266.6091         | 254.6091        | 250.6091       
CPREV+I+G       | 2               | -125.88422      | 267.76843        | 255.76843       | 251.76843      
PMB+I+G         | 2               | -126.33447      | 268.66895        | 256.66895       | 252.66895      
STMTREV+I+G     | 2               | -127.00894      | 270.01788        | 258.01788       | 254.01788      
DAYHOFF+I+G     | 2               | -127.055756     | 270.1115         | 258.1115        | 254.11151      
DCMUT+I+G       | 2               | -127.06103      | 270.12207        | 258.12207       | 254.12206      
MTZOA           | 0               | -136.03156      | 272.0631         | 272.0631        | 272.0631       
MTREV           | 0               | -139.59964      | 279.19928        | 279.19928       | 279.19928      
MTZOA+G         | 1               | -137.4167       | 280.8334         | 276.8334        | 274.8334       
MTMAM           | 0               | -142.34131      | 284.68262        | 284.68262       | 284.68262      
MTREV+G         | 1               | -140.98492      | 287.96985        | 283.96985       | 281.96985      
MTART           | 0               | -144.48146      | 288.96292        | 288.96292       | 288.96292      
MTZOA+I+G       | 2               | -137.41666      | 290.8333         | 278.8333        | 274.8333       
MTMAM+G         | 1               | -143.72594      | 293.45187        | 289.45187       | 287.45187      
MTART+G         | 1               | -145.86665      | 297.7333         | 293.7333        | 291.7333       
MTREV+I+G       | 2               | -140.98488      | 297.96976        | 285.96976       | 281.96976      
MTMAM+I+G       | 2               | -143.72586      | 303.45172        | 291.45172       | 287.45172      
MTART+I+G       | 2               | -145.86661      | 307.73322        | 295.73322       | 291.73322      
LG4X            | 6               | -123.81258      | 343.62515        | 259.62515       | 247.62515      
FLU+F           | 19              | -120.89515      | 1039.7903        | 279.79028       | 241.7903       
LG+F            | 19              | -122.447395     | 1042.8948        | 282.89478       | 244.89479      
JTT+F           | 19              | -122.62772      | 1043.2555        | 283.25543       | 245.25545      
JTTDCMUT+F      | 19              | -122.73186      | 1043.4637        | 283.4637        | 245.46371      
HIVW+F          | 19              | -123.40529      | 1044.8105        | 284.81058       | 246.81058      
VT+F            | 19              | -124.03377      | 1046.0675        | 286.06754       | 248.06754      
WAG+F           | 19              | -124.17944      | 1046.3589        | 286.3589        | 248.35889      
HIVB+F          | 19              | -124.28577      | 1046.5715        | 286.57153       | 248.57153      
RTREV+F         | 19              | -124.50155      | 1047.003         | 287.0031        | 249.0031       
BLOSUM62+F      | 19              | -125.2945       | 1048.589         | 288.589         | 250.589        
CPREV+F         | 19              | -125.87562      | 1049.7512        | 289.75122       | 251.75124      
PMB+F           | 19              | -126.32433      | 1050.6487        | 290.64868       | 252.64867      
STMTREV+F       | 19              | -127.00023      | 1052.0005        | 292.00046       | 254.00046      
DAYHOFF+F       | 19              | -127.04662      | 1052.0933        | 292.09326       | 254.09325      
DCMUT+F         | 19              | -127.05187      | 1052.1038        | 292.10376       | 254.10374      
MTZOA+F         | 19              | -136.03156      | 1070.0631        | 310.0631        | 272.0631       
MTREV+F         | 19              | -139.59964      | 1077.1992        | 317.19928       | 279.19928      
MTMAM+F         | 19              | -142.34131      | 1082.6826        | 322.68262       | 284.68262      
MTART+F         | 19              | -144.48146      | 1086.9629        | 326.96292       | 288.96292      
STMTREV+G+F     | 20              | -120.24703      | 1120.494         | 280.49408       | 240.49406      
FLU+G+F         | 20              | -120.42097      | 1120.8419        | 280.84192       | 240.84193      
JTTDCMUT+G+F    | 20              | -120.857315     | 1121.7146        | 281.71463       | 241.71463      
JTT+G+F         | 20              | -120.880455     | 1121.7609        | 281.76093       | 241.76091      
VT+G+F          | 20              | -120.969284     | 1121.9386        | 281.93857       | 241.93857      
BLOSUM62+G+F    | 20              | -121.01071      | 1122.0215        | 282.02142       | 242.02142      
LG+G+F          | 20              | -121.02731      | 1122.0547        | 282.05463       | 242.05463      
WAG+G+F         | 20              | -121.37673      | 1122.7534        | 282.75348       | 242.75346      
PMB+G+F         | 20              | -121.71191      | 1123.4238        | 283.42383       | 243.42381      
RTREV+G+F       | 20              | -121.86961      | 1123.7393        | 283.73923       | 243.73923      
DCMUT+G+F       | 20              | -122.10092      | 1124.2019        | 284.20184       | 244.20184      
DAYHOFF+G+F     | 20              | -122.11008      | 1124.2202        | 284.22015       | 244.22015      
HIVW+G+F        | 20              | -122.14613      | 1124.2922        | 284.29227       | 244.29227      
CPREV+G+F       | 20              | -123.98081      | 1127.9617        | 287.9616        | 247.96162      
MTZOA+G+F       | 20              | -124.9502       | 1129.9004        | 289.9004        | 249.9004       
HIVB+G+F        | 20              | -125.42835      | 1130.8567        | 290.8567        | 250.8567       
MTMAM+G+F       | 20              | -126.70924      | 1133.4185        | 293.4185        | 253.41849      
MTREV+G+F       | 20              | -126.99399      | 1133.988         | 293.98798       | 253.98798      
MTART+G+F       | 20              | -127.76982      | 1135.5397        | 295.53964       | 255.53964      
STMTREV+I+G+F   | 21              | -118.87179      | 1203.7435        | 279.7436        | 237.74358      
FLU+I+G+F       | 21              | -119.06501      | 1204.13          | 280.13          | 238.13002      
JTTDCMUT+I+G+F  | 21              | -119.48229      | 1204.9646        | 280.9646        | 238.96458      
JTT+I+G+F       | 21              | -119.50522      | 1205.0105        | 281.01044       | 239.01044      
LG+I+G+F        | 21              | -119.65281      | 1205.3057        | 281.3056        | 239.30562      
RTREV+I+G+F     | 21              | -120.494354     | 1206.9888        | 282.9887        | 240.98871      
HIVW+I+G+F      | 21              | -120.78362      | 1207.5673        | 283.56726       | 241.56725      
