Model selection results for subset: ae5529f1397c178880640b46146545ee
Subset alignment stored here: ./analysis/phylofiles/ae5529f1397c178880640b46146545ee.phy
This subset contains the following data_blocks: gene2, gene7, gene13, gene11
Number of columns in subset: 4
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
HIVB            | 0               | -11.67035       | 23.3407          | 23.3407         | 23.3407        
FLU             | 0               | -12.23308       | 24.46616         | 24.46616        | 24.46616       
RTREV           | 0               | -12.310611      | 24.621222        | 24.621222       | 24.621222      
HIVW            | 0               | -12.399357      | 24.798714        | 24.798714       | 24.798714      
LG              | 0               | -12.486547      | 24.973095        | 24.973095       | 24.973095      
JTT             | 0               | -12.496054      | 24.992107        | 24.992107       | 24.992107      
JTTDCMUT        | 0               | -12.520247      | 25.040495        | 25.040495       | 25.040495      
VT              | 0               | -12.534989      | 25.069979        | 25.069979       | 25.069979      
WAG             | 0               | -12.602937      | 25.205873        | 25.205873       | 25.205873      
PMB             | 0               | -12.700447      | 25.400894        | 25.400894       | 25.400894      
CPREV           | 0               | -12.832454      | 25.664907        | 25.664907       | 25.664907      
BLOSUM62        | 0               | -13.047313      | 26.094625        | 26.094625       | 26.094625      
STMTREV         | 0               | -13.228071      | 26.456142        | 26.456142       | 26.456142      
DCMUT           | 0               | -13.23555       | 26.4711          | 26.4711         | 26.4711        
DAYHOFF         | 0               | -13.235555      | 26.47111         | 26.47111        | 26.47111       
MTART           | 0               | -13.34645       | 26.6929          | 26.6929         | 26.6929        
MTZOA           | 0               | -13.46744       | 26.93488         | 26.93488        | 26.93488       
MTREV           | 0               | -13.6317        | 27.2634          | 27.2634         | 27.2634        
MTMAM           | 0               | -13.647835      | 27.29567         | 27.29567        | 27.29567       
HIVB+G          | 1               | -11.670346      | 27.340693        | 25.340693       | 24.726986      
FLU+G           | 1               | -12.233075      | 28.46615         | 26.46615        | 25.852444      
RTREV+G         | 1               | -12.310603      | 28.621206        | 26.621206       | 26.0075        
HIVW+G          | 1               | -12.399346      | 28.798693        | 26.798693       | 26.184986      
LG+G            | 1               | -12.486541      | 28.973082        | 26.973082       | 26.359375      
JTT+G           | 1               | -12.496047      | 28.992094        | 26.992094       | 26.378387      
JTTDCMUT+G      | 1               | -12.520239      | 29.040478        | 27.040478       | 26.426771      
VT+G            | 1               | -12.53498       | 29.06996         | 27.06996        | 26.456253      
WAG+G           | 1               | -12.602924      | 29.205849        | 27.205849       | 26.592142      
PMB+G           | 1               | -12.70044       | 29.40088         | 27.40088        | 26.787174      
LG4M+G          | 1               | -12.732674      | 29.465347        | 27.465347       | 26.85164       
CPREV+G         | 1               | -12.832443      | 29.664886        | 27.664886       | 27.05118       
BLOSUM62+G      | 1               | -13.047305      | 30.09461         | 28.09461        | 27.480904      
STMTREV+G       | 1               | -13.228063      | 30.456125        | 28.456125       | 27.842419      
DCMUT+G         | 1               | -13.235534      | 30.471067        | 28.471067       | 27.85736       
DAYHOFF+G       | 1               | -13.235539      | 30.471079        | 28.471079       | 27.857372      
MTART+G         | 1               | -13.346449      | 30.692898        | 28.692898       | 28.079191      
MTZOA+G         | 1               | -13.467439      | 30.934877        | 28.934877       | 28.32117       
MTREV+G         | 1               | -13.6317        | 31.2634          | 29.2634         | 28.649693      
MTMAM+G         | 1               | -13.647834      | 31.295668        | 29.295668       | 28.681961      
HIVB+I+G        | 2               | -11.670346      | 39.34069         | 27.340693       | 26.113281      
FLU+I+G         | 2               | -12.233075      | 40.46615         | 28.46615        | 27.238739      
RTREV+I+G       | 2               | -12.310603      | 40.62121         | 28.621206       | 27.393795      
HIVW+I+G        | 2               | -12.399346      | 40.79869         | 28.798693       | 27.571281      
LG+I+G          | 2               | -12.486541      | 40.973083        | 28.973082       | 27.74567       
JTT+I+G         | 2               | -12.496047      | 40.992096        | 28.992094       | 27.764683      
JTTDCMUT+I+G    | 2               | -12.520239      | 41.040478        | 29.040478       | 27.813066      
VT+I+G          | 2               | -12.53498       | 41.06996         | 29.06996        | 27.842548      
WAG+I+G         | 2               | -12.602924      | 41.20585         | 29.205849       | 27.978437      
PMB+I+G         | 2               | -12.70044       | 41.40088         | 29.40088        | 28.17347       
CPREV+I+G       | 2               | -12.832443      | 41.664886        | 29.664886       | 28.437475      
BLOSUM62+I+G    | 2               | -13.047305      | 42.094612        | 30.09461        | 28.867199      
STMTREV+I+G     | 2               | -13.228063      | 42.456123        | 30.456125       | 29.228714      
DCMUT+I+G       | 2               | -13.235534      | 42.47107         | 30.471067       | 29.243656      
DAYHOFF+I+G     | 2               | -13.235539      | 42.471077        | 30.471079       | 29.243668      
MTART+I+G       | 2               | -13.346449      | 42.692898        | 30.692898       | 29.465487      
MTZOA+I+G       | 2               | -13.467439      | 42.934875        | 30.934877       | 29.707466      
MTREV+I+G       | 2               | -13.6317        | 43.263397        | 31.2634         | 30.035988      
MTMAM+I+G       | 2               | -13.647834      | 43.29567         | 31.295668       | 30.068256      
LG4X            | 6               | -11.770615      | 119.54123        | 35.54123        | 31.858995      
HIVB+F          | 19              | -11.67035       | 821.3407         | 61.3407         | 49.680294      
FLU+F           | 19              | -12.23308       | 822.4662         | 62.46616        | 50.80575       
RTREV+F         | 19              | -12.310611      | 822.6212         | 62.621223       | 50.960815      
