Model selection results for subset: aedb14d3602c519696ef4cc5ff322a1c
Subset alignment stored here: ./analysis/phylofiles/aedb14d3602c519696ef4cc5ff322a1c.phy
This subset contains the following data_blocks: gene20, gene4, gene1, gene6
Number of columns in subset: 4
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
LG              | 0               | -386.3474       | 772.6948         | 772.6948        | 772.6948       
LG+G            | 1               | -386.71936      | 777.4387         | 775.4387        | 774.825        
RTREV           | 0               | -391.07126      | 782.1425         | 782.1425        | 782.1425       
VT              | 0               | -392.77835      | 785.5567         | 785.5567        | 785.5567       
RTREV+G         | 1               | -391.44983      | 786.89966        | 784.89966       | 784.28595      
WAG             | 0               | -393.45493      | 786.90985        | 786.90985       | 786.90985      
BLOSUM62        | 0               | -393.58926      | 787.1785         | 787.1785        | 787.1785       
PMB             | 0               | -394.12326      | 788.2465         | 788.2465        | 788.2465       
LG+I+G          | 2               | -386.38013      | 788.76025        | 776.76025       | 775.53284      
JTTDCMUT        | 0               | -394.60587      | 789.21173        | 789.21173       | 789.21173      
CPREV           | 0               | -394.8909       | 789.7818         | 789.7818        | 789.7818       
JTT             | 0               | -394.99368      | 789.98737        | 789.98737       | 789.98737      
VT+G            | 1               | -393.12207      | 790.24414        | 788.24414       | 787.63043      
BLOSUM62+G      | 1               | -393.71606      | 791.4321         | 789.4321        | 788.8184       
WAG+G           | 1               | -393.83023      | 791.66046        | 789.66046       | 789.04675      
PMB+G           | 1               | -394.76465      | 793.5293         | 791.5293        | 790.9156       
JTTDCMUT+G      | 1               | -394.9556       | 793.9112         | 791.9112        | 791.2975       
CPREV+G         | 1               | -395.32895      | 794.6579         | 792.6579        | 792.0442       
JTT+G           | 1               | -395.39752      | 794.79504        | 792.79504       | 792.18134      
LG4M+G          | 1               | -396.37228      | 796.74457        | 794.74457       | 794.13086      
RTREV+I+G       | 2               | -391.1045       | 798.209          | 786.209         | 784.98157      
VT+I+G          | 2               | -392.80847      | 801.61694        | 789.61694       | 788.3895       
WAG+I+G         | 2               | -393.48285      | 802.9657         | 790.9657        | 789.7383       
BLOSUM62+I+G    | 2               | -393.61768      | 803.23535        | 791.23535       | 790.00793      
