Model selection results for subset: f929b949f2b39b737395b4c6b5cda901
Subset alignment stored here: ./analysis/phylofiles/f929b949f2b39b737395b4c6b5cda901.phy
This subset contains the following data_blocks: gene3, gene8
Number of columns in subset: 2
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
RTREV           | 0               | -164.95059      | 329.90118        | 329.90118       | 329.90118      
LG              | 0               | -166.08508      | 332.17017        | 332.17017       | 332.17017      
CPREV           | 0               | -166.33623      | 332.67245        | 332.67245       | 332.67245      
BLOSUM62        | 0               | -167.37714      | 334.75427        | 334.75427       | 334.75427      
PMB             | 0               | -167.7248       | 335.4496         | 335.4496        | 335.4496       
WAG             | 0               | -168.29793      | 336.59586        | 336.59586       | 336.59586      
RTREV+G         | 1               | -165.40312      | 336.80624        | 332.80624       | 331.4994       
VT              | 0               | -168.50697      | 337.01395        | 337.01395       | 337.01395      
LG+G            | 1               | -166.4299       | 338.8598         | 334.8598        | 333.55295      
CPREV+G         | 1               | -166.50153      | 339.00305        | 335.00305       | 333.6962       
FLU             | 0               | -170.21217      | 340.42435        | 340.42435       | 340.42435      
LG4M+G          | 1               | -167.48297      | 340.96594        | 336.96594       | 335.6591       
JTT             | 0               | -170.754        | 341.508          | 341.508         | 341.508        
BLOSUM62+G      | 1               | -167.83347      | 341.66693        | 337.66693       | 336.36008      
JTTDCMUT        | 0               | -170.98976      | 341.97952        | 341.97952       | 341.97952      
HIVB            | 0               | -171.01         | 342.02           | 342.02          | 342.02         
PMB+G           | 1               | -168.2013       | 342.4026         | 338.4026        | 337.09573      
MTZOA           | 0               | -171.70872      | 343.41745        | 343.41745       | 343.41745      
WAG+G           | 1               | -168.78793      | 343.57587        | 339.57587       | 338.269        
DCMUT           | 0               | -171.84018      | 343.68036        | 343.68036       | 343.68036      
DAYHOFF         | 0               | -171.8534       | 343.7068         | 343.7068        | 343.7068       
VT+G            | 1               | -168.99342      | 343.98685        | 339.98685       | 338.68         
RTREV+I+G       | 2               | -164.9643       | 345.9286         | 333.9286        | 331.31488      
FLU+G           | 1               | -170.68549      | 347.37097        | 343.37097       | 342.06412      
LG+I+G          | 2               | -166.09523      | 348.19046        | 336.19046       | 333.57675      
JTT+G           | 1               | -171.24966      | 348.49933        | 344.49933       | 343.19247      
CPREV+I+G       | 2               | -166.34706      | 348.69412        | 336.69412       | 334.0804       
JTTDCMUT+G      | 1               | -171.48653      | 348.97305        | 344.97305       | 343.6662       
HIVB+G          | 1               | -171.50945      | 349.0189         | 345.0189        | 343.71204      
MTART           | 0               | -174.78719      | 349.57437        | 349.57437       | 349.57437      
MTZOA+G         | 1               | -172.01106      | 350.02213        | 346.02213       | 344.71527      
DCMUT+G         | 1               | -172.33284      | 350.66568        | 346.66568       | 345.35883      
DAYHOFF+G       | 1               | -172.34628      | 350.69257        | 346.69257       | 345.3857       
BLOSUM62+I+G    | 2               | -167.39072      | 350.78143        | 338.78143       | 336.16772      
PMB+I+G         | 2               | -167.73764      | 351.47528        | 339.47528       | 336.86157      
WAG+I+G         | 2               | -168.31026      | 352.6205         | 340.6205        | 338.0068       
MTREV           | 0               | -176.4666       | 352.9332         | 352.9332        | 352.9332       
VT+I+G          | 2               | -168.51942      | 353.03885        | 341.03885       | 338.42514      
MTART+G         | 1               | -175.21106      | 356.42212        | 352.42212       | 351.11526      
FLU+I+G         | 2               | -170.2246       | 356.4492         | 344.4492        | 341.83548      
MTMAM           | 0               | -178.4933       | 356.9866         | 356.9866        | 356.9866       
JTT+I+G         | 2               | -170.76556      | 357.53113        | 345.53113       | 342.91742      
JTTDCMUT+I+G    | 2               | -171.0012       | 358.0024         | 346.0024        | 343.3887       
HIVB+I+G        | 2               | -171.02191      | 358.04382        | 346.04382       | 343.4301       
MTREV+G         | 1               | -176.61255      | 359.2251         | 355.2251        | 353.91824      
MTZOA+I+G       | 2               | -171.71552      | 359.43103        | 347.43103       | 344.81732      
DCMUT+I+G       | 2               | -171.85184      | 359.70367        | 347.70367       | 345.08997      
DAYHOFF+I+G     | 2               | -171.865        | 359.73           | 347.73          | 345.1163       
STMTREV         | 0               | -181.76924      | 363.53848        | 363.53848       | 363.53848      
MTMAM+G         | 1               | -178.97563      | 363.95126        | 359.95126       | 358.6444       
HIVW            | 0               | -182.65158      | 365.30316        | 365.30316       | 365.30316      
MTART+I+G       | 2               | -174.79633      | 365.59265        | 353.59265       | 350.97894      
MTREV+I+G       | 2               | -176.47719      | 368.95438        | 356.95438       | 354.34067      
STMTREV+G       | 1               | -182.24394      | 370.48788        | 366.48788       | 365.18103      
HIVW+G          | 1               | -182.8763       | 371.7526         | 367.7526        | 366.44574      
MTMAM+I+G       | 2               | -178.50446      | 373.0089         | 361.0089        | 358.3952       
STMTREV+I+G     | 2               | -181.78181      | 379.56363        | 367.56363       | 364.94992      
HIVW+I+G        | 2               | -182.6609       | 381.3218         | 369.3218        | 366.7081       
LG4X            | 6               | -166.39781      | 428.79562        | 344.79562       | 336.9545       
RTREV+F         | 19              | -164.95059      | 1127.9011        | 367.90118       | 343.07098      
LG+F            | 19              | -166.08508      | 1130.1702        | 370.17017       | 345.33997      
CPREV+F         | 19              | -166.33623      | 1130.6725        | 370.67245       | 345.84225      
BLOSUM62+F      | 19              | -167.37714      | 1132.7543        | 372.75427       | 347.92407      
PMB+F           | 19              | -167.7248       | 1133.4496        | 373.4496        | 348.6194       
WAG+F           | 19              | -168.29793      | 1134.5958        | 374.59586       | 349.76566      
VT+F            | 19              | -168.50697      | 1135.0139        | 375.01395       | 350.18375      
FLU+F           | 19              | -170.21217      | 1138.4243        | 378.42435       | 353.59415      
JTT+F           | 19              | -170.754        | 1139.508         | 379.508         | 354.6778       
JTTDCMUT+F      | 19              | -170.98976      | 1139.9795        | 379.97952       | 355.14932      
HIVB+F          | 19              | -171.01         | 1140.02          | 380.02          | 355.1898       
MTZOA+F         | 19              | -171.70872      | 1141.4175        | 381.41745       | 356.58725      
DCMUT+F         | 19              | -171.84018      | 1141.6804        | 381.68036       | 356.85016      
DAYHOFF+F       | 19              | -171.8534       | 1141.7068        | 381.7068        | 356.8766       
MTART+F         | 19              | -174.78719      | 1147.5743        | 387.57437       | 362.74417      
MTREV+F         | 19              | -176.4666       | 1150.9332        | 390.9332        | 366.103        
MTMAM+F         | 19              | -178.4933       | 1154.9866        | 394.9866        | 370.1564       
STMTREV+F       | 19              | -181.76924      | 1161.5385        | 401.53848       | 376.70828      
HIVW+F          | 19              | -182.65158      | 1163.3032        | 403.30316       | 378.47296      
VT+G+F          | 20              | -166.51125      | 1213.0225        | 373.0225        | 346.88544      
DCMUT+G+F       | 20              | -166.58347      | 1213.167         | 373.16693       | 347.02988      
DAYHOFF+G+F     | 20              | -166.62057      | 1213.2412        | 373.24115       | 347.1041       
JTTDCMUT+G+F    | 20              | -166.63098      | 1213.262         | 373.26196       | 347.1249       
JTT+G+F         | 20              | -166.6426       | 1213.2852        | 373.2852        | 347.14813      
BLOSUM62+G+F    | 20              | -166.71053      | 1213.421         | 373.42105       | 347.284        
