INFO     | 2019-11-14 13:32:46,098 | config     | Loading configuration at './partition_finder.cfg'
INFO     | 2019-11-14 13:32:46,107 | config     | Setting 'alignment' to 'temp_align.phy'
INFO     | 2019-11-14 13:32:46,107 | config     | Setting 'branchlengths' to 'linked'
INFO     | 2019-11-14 13:32:46,108 | parser     | You set 'models' to: all
INFO     | 2019-11-14 13:32:46,143 | model_load | This analysis will use the following 116 models of molecular evolution
INFO     | 2019-11-14 13:32:46,144 | model_load | LG, WAG, MTREV, DAYHOFF, DCMUT, JTT, VT, BLOSUM62, CPREV, RTREV, MTMAM, MTART, HIVB, HIVW, LG4X, MTZOA, PMB, JTTDCMUT, FLU, STMTREV, LG+F, WAG+F, MTREV+F, DAYHOFF+F, DCMUT+F, JTT+F, VT+F, BLOSUM62+F, CPREV+F, RTREV+F, MTMAM+F, MTART+F, HIVB+F, HIVW+F, MTZOA+F, PMB+F, JTTDCMUT+F, FLU+F, STMTREV+F, LG+G, WAG+G, MTREV+G, DAYHOFF+G, DCMUT+G, JTT+G, VT+G, BLOSUM62+G, CPREV+G, RTREV+G, MTMAM+G, MTART+G, HIVB+G, HIVW+G, LG4M+G, MTZOA+G, PMB+G, JTTDCMUT+G, FLU+G, STMTREV+G, LG+G+F, WAG+G+F, MTREV+G+F, DAYHOFF+G+F, DCMUT+G+F, JTT+G+F, VT+G+F, BLOSUM62+G+F, CPREV+G+F, RTREV+G+F, MTMAM+G+F, MTART+G+F, HIVB+G+F, HIVW+G+F, MTZOA+G+F, PMB+G+F, JTTDCMUT+G+F, FLU+G+F, STMTREV+G+F, LG+I+G, WAG+I+G, MTREV+I+G, DAYHOFF+I+G, DCMUT+I+G, JTT+I+G, VT+I+G, BLOSUM62+I+G, CPREV+I+G, RTREV+I+G, MTMAM+I+G, MTART+I+G, HIVB+I+G, HIVW+I+G, MTZOA+I+G, PMB+I+G, JTTDCMUT+I+G, FLU+I+G, STMTREV+I+G, LG+I+G+F, WAG+I+G+F, MTREV+I+G+F, DAYHOFF+I+G+F, DCMUT+I+G+F, JTT+I+G+F, VT+I+G+F, BLOSUM62+I+G+F, CPREV+I+G+F, RTREV+I+G+F, MTMAM+I+G+F, MTART+I+G+F, HIVB+I+G+F, HIVW+I+G+F, MTZOA+I+G+F, PMB+I+G+F, JTTDCMUT+I+G+F, FLU+I+G+F, STMTREV+I+G+F
INFO     | 2019-11-14 13:32:46,144 | config     | Setting 'model_selection' to 'aic'
INFO     | 2019-11-14 13:32:46,154 | config     | Setting 'search' to 'rcluster'
INFO     | 2019-11-14 13:32:46,154 | config     | ------------------------ BEGINNING NEW RUN -------------------------------
INFO     | 2019-11-14 13:32:46,154 | config     | Looking for alignment file './temp_align.phy'...
INFO     | 2019-11-14 13:32:46,154 | analysis   | Beginning Analysis
INFO     | 2019-11-14 13:32:46,175 | alignment  | Reading alignment file './temp_align.phy'
INFO     | 2019-11-14 13:32:46,177 | analysis   | Starting tree will be estimated from the data.
INFO     | 2019-11-14 13:32:46,178 | raxml      | Estimating Maximum Likelihood tree with RAxML fast experimental tree search for ./analysis/start_tree/filtered_source.phy
INFO     | 2019-11-14 13:32:46,178 | raxml      | Using a separate LG+G model for each data block
INFO     | 2019-11-14 13:34:03,283 | raxml      | Estimating LG+G branch lengths on ML tree using all partitions
INFO     | 2019-11-14 13:34:17,736 | raxml      | ML topology estimation finished
INFO     | 2019-11-14 13:34:17,738 | analysis_m | Performing relaxed clustering analysis
INFO     | 2019-11-14 13:34:17,738 | analysis_m |    Set rcluster-max to 1000
INFO     | 2019-11-14 13:34:17,739 | analysis_m |    PartitionFinder will have to analyse 381 subsets to complete this analyses
INFO     | 2019-11-14 13:34:17,739 | analysis_m |    *** Analysing starting scheme ***
INFO     | 2019-11-14 13:34:52,420 | progress   |       Finished subset 1/20, 5.00 percent done
INFO     | 2019-11-14 13:35:23,378 | progress   |       Finished subset 2/20, 10.00 percent done
INFO     | 2019-11-14 13:35:53,217 | progress   |       Finished subset 3/20, 15.00 percent done
INFO     | 2019-11-14 13:36:23,229 | progress   |       Finished subset 4/20, 20.00 percent done
INFO     | 2019-11-14 13:36:50,262 | progress   |       Finished subset 5/20, 25.00 percent done
INFO     | 2019-11-14 13:37:21,854 | progress   |       Finished subset 6/20, 30.00 percent done
INFO     | 2019-11-14 13:37:51,092 | progress   |       Finished subset 7/20, 35.00 percent done
INFO     | 2019-11-14 13:38:19,469 | progress   |       Finished subset 8/20, 40.00 percent done
INFO     | 2019-11-14 13:38:51,259 | progress   |       Finished subset 9/20, 45.00 percent done
INFO     | 2019-11-14 13:39:19,488 | progress   |       Finished subset 10/20, 50.00 percent done
INFO     | 2019-11-14 13:39:44,217 | progress   |       Finished subset 11/20, 55.00 percent done
INFO     | 2019-11-14 13:40:12,382 | progress   |       Finished subset 12/20, 60.00 percent done
INFO     | 2019-11-14 13:40:37,231 | progress   |       Finished subset 13/20, 65.00 percent done
INFO     | 2019-11-14 13:41:05,197 | progress   |       Finished subset 14/20, 70.00 percent done
INFO     | 2019-11-14 13:41:33,470 | progress   |       Finished subset 15/20, 75.00 percent done
INFO     | 2019-11-14 13:42:02,630 | progress   |       Finished subset 16/20, 80.00 percent done
INFO     | 2019-11-14 13:42:36,692 | progress   |       Finished subset 17/20, 85.00 percent done
INFO     | 2019-11-14 13:43:07,288 | progress   |       Finished subset 18/20, 90.00 percent done
INFO     | 2019-11-14 13:43:45,037 | progress   |       Finished subset 19/20, 95.00 percent done
INFO     | 2019-11-14 13:44:11,761 | progress   |       Finished subset 20/20, 100.00 percent done
INFO     | 2019-11-14 13:44:11,773 | analysis_m |    *** Relaxed clustering algorithm step 1 of up to 19 ***
INFO     | 2019-11-14 13:44:11,774 | analysis_m |       Measuring the similarity of 190 subset pairs
INFO     | 2019-11-14 13:44:11,775 | analysis_m |       Choosing the 19 most similar subset pairs
INFO     | 2019-11-14 13:44:11,777 | analysis_m |       Analysing 19 new subset pairs
INFO     | 2019-11-14 13:44:44,994 | progress   |       Finished subset 1/19, 5.26 percent done
INFO     | 2019-11-14 13:45:16,686 | progress   |       Finished subset 2/19, 10.53 percent done
INFO     | 2019-11-14 13:45:46,511 | progress   |       Finished subset 3/19, 15.79 percent done
INFO     | 2019-11-14 13:46:21,194 | progress   |       Finished subset 4/19, 21.05 percent done
INFO     | 2019-11-14 13:46:49,049 | progress   |       Finished subset 5/19, 26.32 percent done
