Model selection results for subset: 7ff18c8b39eb13a913000be3aecccf0d
Subset alignment stored here: ./analysis/phylofiles/7ff18c8b39eb13a913000be3aecccf0d.phy
This subset contains the following data_blocks: gene10
Number of columns in subset: 1
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
MTART           | 0               | -3.232899       | 6.465798         | 6.465798        | 6.465798       
MTZOA           | 0               | -3.296837       | 6.593674         | 6.593674        | 6.593674       
PMB             | 0               | -3.324236       | 6.648472         | 6.648472        | 6.648472       
WAG             | 0               | -3.344604       | 6.689208         | 6.689208        | 6.689208       
LG              | 0               | -3.376846       | 6.753692         | 6.753692        | 6.753692       
MTMAM           | 0               | -3.381395       | 6.76279          | 6.76279         | 6.76279        
MTREV           | 0               | -3.411248       | 6.822496         | 6.822496        | 6.822496       
VT              | 0               | -3.430381       | 6.860762         | 6.860762        | 6.860762       
JTT             | 0               | -3.438837       | 6.877674         | 6.877674        | 6.877674       
JTTDCMUT        | 0               | -3.442019       | 6.884038         | 6.884038        | 6.884038       
BLOSUM62        | 0               | -3.442019       | 6.884038         | 6.884038        | 6.884038       
RTREV           | 0               | -3.448289       | 6.896578         | 6.896578        | 6.896578       
FLU             | 0               | -3.457768       | 6.915536         | 6.915536        | 6.915536       
CPREV           | 0               | -3.473768       | 6.947536         | 6.947536        | 6.947536       
STMTREV         | 0               | -3.488623       | 6.977246         | 6.977246        | 6.977246       
DAYHOFF         | 0               | -3.509362       | 7.018724         | 7.018724        | 7.018724       
DCMUT           | 0               | -3.509362       | 7.018724         | 7.018724        | 7.018724       
HIVB            | 0               | -3.56312        | 7.12624          | 7.12624         | 7.12624        
HIVW            | 0               | -3.883207       | 7.766414         | 7.766414        | 7.766414       
MTART+G         | 1               | -3.232899       | 12.465797        | 8.465797        | 6.465798       
MTZOA+G         | 1               | -3.296837       | 12.593674        | 8.593674        | 6.593674       
PMB+G           | 1               | -3.324236       | 12.648472        | 8.648472        | 6.648472       
WAG+G           | 1               | -3.344604       | 12.689208        | 8.689208        | 6.689208       
LG+G            | 1               | -3.376846       | 12.753693        | 8.753693        | 6.753692       
MTMAM+G         | 1               | -3.381395       | 12.762791        | 8.762791        | 6.76279        
MTREV+G         | 1               | -3.411248       | 12.822496        | 8.822496        | 6.822496       
VT+G            | 1               | -3.430381       | 12.860762        | 8.860762        | 6.860762       
LG4M+G          | 1               | -3.43067        | 12.86134         | 8.86134         | 6.86134        
JTT+G           | 1               | -3.438837       | 12.877674        | 8.877674        | 6.877674       
JTTDCMUT+G      | 1               | -3.442019       | 12.884038        | 8.884038        | 6.884038       
BLOSUM62+G      | 1               | -3.442019       | 12.884038        | 8.884038        | 6.884038       
RTREV+G         | 1               | -3.448289       | 12.896578        | 8.896578        | 6.896578       
FLU+G           | 1               | -3.457768       | 12.915536        | 8.915536        | 6.915536       
CPREV+G         | 1               | -3.473768       | 12.947536        | 8.947536        | 6.947536       
STMTREV+G       | 1               | -3.488623       | 12.977245        | 8.977245        | 6.977246       
DAYHOFF+G       | 1               | -3.509362       | 13.018724        | 9.018724        | 7.018724       
DCMUT+G         | 1               | -3.509362       | 13.018724        | 9.018724        | 7.018724       
HIVB+G          | 1               | -3.56312        | 13.12624         | 9.12624         | 7.12624        
HIVW+G          | 1               | -3.883207       | 13.766415        | 9.766415        | 7.766414       
MTART+I+G       | 2               | -3.232899       | 22.465797        | 10.465797       | 6.465798       
